stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.43,0,0,0,0,0,0
  5-6,18.39,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,594.57,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,7.89,84.12,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,22.03,0,0,0,0,0,0
 14-21,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,25,0,0,1,3,0,0,5,0,2,0,0,286,1,1,1,0,1,0
 24-34,0,0,0,12.31,0,0,3.28,0,1.64,0.82,0,1.64,0,0,1.64,49.25,6.57,0,1.64,15.6,0,1.64,32.83,0,13.13,0,0,481.84,0,0,9.03,0,1.64,0
 36-46,0,0,0,4.03,0,0,0.81,0,3.22,0,0,0,0.81,0,1.61,14.5,7.25,0,0,12.09,0,0,23.36,0,10.47,0,0,542.22,0,0.81,2.42,0,0,0
 48-58,0,0,0,6.31,0.57,0,8.61,0,3.44,0.57,1.15,0,6.31,0.57,2.3,9.18,6.89,0,1.15,10.9,0,0.57,19.51,0,8.61,0,0,437.81,0,0.57,5.16,0,0.57,0
 60-70,0,0,0,7.85,0,0,7.85,0,5.89,0,0,0.98,5.89,0,4.91,8.83,4.91,0,0.98,7.85,0,0,6.87,0,2.94,0,0,333.72,0,0.98,0.98,2.94,0,0
 72-82,0,0,0,40.25,0.98,0,5.89,0,0.98,0.98,0.98,4.91,1.96,0,10.8,30.43,11.78,0.98,7.85,13.74,1.96,0,12.76,0,11.78,1.96,0,462.36,0,0,0,7.85,0,0.98
 84-94,0,0,0,59.47,1.06,0,3.19,0,7.43,0,1.06,6.37,3.19,0,15.93,30.8,11.68,0,5.31,16.99,0,0,7.43,0,7.43,0,0,1237.27,0,2.12,2.12,8.5,1.06,0
 96-106,0,0,0,98.36,0,1.09,4.37,0,13.11,0,2.19,19.67,0,1.09,16.39,51.36,16.39,1.09,5.46,24.04,0,0,19.67,0,16.39,3.28,0,989.03,0,0,0,15.3,3.28,4.37
108-118,0,0,0.77,78.13,0.77,2.3,1.53,1.53,17.62,0.77,2.3,11.49,0,0,19.92,34.47,11.49,0.77,4.6,24.51,0,0.77,9.96,0,8.43,0,0,782.05,0,2.3,0,5.36,0.77,0
120,0,0,0,66.63,1.96,0,3.92,0,7.84,0,1.96,11.76,0,0,29.4,23.52,1.96,0,0,7.84,0,0,13.72,0,9.8,0,0,437.03,0,0,0,3.92,1.96,1.96
