stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,10,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,0,0,0,0,0,0.82,0,0,41.86,0,1.64,0.82,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,0,6.45,0,0,1.61,0,0,0.81,0.81,0,0,0,85.4,0.81,3.22,0,0,0,0,17.72,0,0,0,0
 48-58,0,0,0,0,10.33,0,0,2.3,0,0,0.57,0,0,0,0,96.97,0,2.3,0,0,0,0,16.64,0,0,0,0.57
 60-70,0,0,0,0.98,26.5,0,0,6.87,0,0,0,0,0,0.98,0,135.45,0,0.98,0,0,0,0,14.72,0.98,0,0,0.98
 72-82,0,0,0,2.94,31.41,0,0,4.91,0,0,0,0,2.94,0,0,97.18,0,2.94,0,0,0,0.98,5.89,0,0,0,0
 84-94,0,0,1.06,1.06,19.12,0,0,6.37,0,0,0,0,0,0,0,44.61,0,1.06,1.06,0,0,0,4.25,0,1.06,2.12,0
 96-106,0,0,0,0,16.39,0,0,4.37,1.09,0,0,0,0,0,0,53.55,0,1.09,1.09,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,16.09,0,0.77,3.83,0,0.77,0,0,2.3,0,0,40.6,0.77,1.53,0.77,0,0,0,1.53,0,0.77,0,0
120,0,0,0,0,21.56,1.96,0,5.88,0,0,0,0,7.84,0,1.96,84.27,0,1.96,0,0,0,0,1.96,0,0,0,0
