stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,60.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,62.94,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,163.64,62.94,0,0,283.23,0,0,9.44,0,0,37.76,0,0,0,0
 14-21,1,0,7,44,161,21,136,0,6,0,22,37,9,0,0,9,0,0,0,0,90,0,0,296,232,258,0,1,9,0,2,294,3,437,2686,397,0,2,0
 24-34,0,0.82,3.28,5.75,90.29,3.28,192.08,1.64,15.6,18.06,22.16,8.21,0,0.82,0.82,9.03,0.82,1.64,0.82,0.82,179.77,4.1,0,193.72,189.62,82.09,3.28,0.82,0,0.82,4.93,4.93,0,204.39,424.38,252,0,4.93,0
 36-46,0.81,0,1.61,0.81,24.17,0,77.34,0,1.61,21.75,6.45,4.03,0,0.81,0.81,1.61,0.81,0,0,0,67.68,1.61,0,36.26,43.51,32.23,0,0,0,0,4.83,0,0.81,44.31,2.42,87.01,0,1.61,0
 48-58,0,0,0,0,13.77,0,49.35,1.15,1.15,6.31,0.57,2.87,0,1.72,0,0,1.15,0,0,0,36.72,0,0,9.75,15.49,25.82,0,0,0,0,0,0,0,6.31,0,47.05,0,1.15,0
 60-70,0,0,0,0,3.93,0,60.85,0,0,0.98,0,5.89,0,0.98,0,0,0.98,0,0,0,14.72,0,0.98,1.96,8.83,12.76,0,0,0,0,0.98,0,0,4.91,0,6.87,0.98,0,0
 72-82,0,0,2.94,0,3.93,0,81.48,0,0.98,0,0,4.91,0,0,0,0,0,0,0.98,0,6.87,0,0,0.98,0.98,0.98,0,0,0,0,0.98,0,0,0,0,5.89,0,0,0.98
 84-94,0,0,3.19,0,2.12,0,103.02,0,2.12,0,1.06,5.31,0,0,1.06,0,0,0,0,0,4.25,0,0,2.12,2.12,9.56,0,0,0,0,0,0,0,0,0,4.25,0,1.06,0
 96-106,0,0,1.09,0,1.09,0,61.2,0,0,0,1.09,5.46,0,0,0,0,2.19,0,0,1.09,4.37,0,0,1.09,1.09,2.19,0,0,0,0,0,0,0,0,0,6.56,0,0,0
108-118,0.77,0,0,0,0.77,0,36.77,0,0,0,0.77,2.3,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0.77,3.06,2.3,0,0,0,0,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,0,0,19.6,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
