stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,0,2.46,0,0,0,9.85,0,0,2.46,30.37,0,0,0,0,0,0,5.75,0,0,0,0
 36-46,0,0,0.81,0.81,0.81,1.61,0,0,0.81,0,0,0.81,0,0,0,23.36,0,0,0,65.26,0,0,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0.57,1.15,4.59,0,0.57,0.57,0,0,0,0.57,0,0,0,47.05,0,0,2.3,59.68,0,0,0,0,0,0,7.46,0,0,0,0
 60-70,0,0,0,0.98,3.93,0,0,1.96,0,0,0,0,0,0,0,67.73,0,0,0.98,86.37,0.98,0,0.98,0,0,0,3.93,0,0,0,0
 72-82,0,2.94,0.98,0.98,4.91,0,0,4.91,2.94,0.98,0,0,0,0.98,0,75.59,0,0.98,0.98,125.65,0,0,0,0.98,0,0,5.89,0.98,0,0,0
 84-94,0,3.19,2.12,2.12,15.93,0,0,3.19,2.12,0,1.06,6.37,1.06,0,1.06,45.67,0,0,0,63.72,0,0,0,0,0,0,4.25,0,0,0,1.06
 96-106,0,5.46,1.09,4.37,5.46,0,1.09,2.19,3.28,0,0,0,0,0,0,55.74,0,0,1.09,39.34,0,1.09,0,2.19,0,0,2.19,0,1.09,1.09,1.09
108-118,0,6.13,3.06,0.77,8.43,0,0,0.77,3.06,0,0,0,0,0,0.77,46.72,0.77,0,0,65.87,0,0.77,0,0.77,0,0,1.53,1.53,0,0.77,0
120,0,3.92,1.96,1.96,7.84,0,0,1.96,1.96,0,1.96,3.92,0,0,1.96,31.36,0,0,0,82.31,0,0,0,5.88,0,0,1.96,0,1.96,0,0
