stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,2.63,0,0,10.51,0,0,0,0,0,0,78.86,0,0,0,34.17,0,0,0,0
 10-12,0,9.44,6.29,0,0,12.59,0,0,0,0,0,0,62.94,6.29,0,0,18.88,0,3.15,0,0
 14-21,0,0,0,2,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0
 24-34,0,0,0,0,0,4.1,0.82,0,0,0,2.46,0,13.13,0,0.82,0,0,0,0,0,3.28
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0.81,14.5,0.81,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,2.87,0,0,0,0,1.15,0.57,5.16,0,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,0.98,0,0,0,0,3.93,0,8.83,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,3.93,3.93,0,0.98,0,0,0,5.89,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,0,2.19,0,3.28,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,1.53,0,0.77,0.77,0,1.53,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
