stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0.81,0.81,0,0,3.22,0,0,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0.57,0,1.15,0,0,0.57,0.57,0.57,0,0.57,2.87,0,0,1.15,1.15,0,0,0,0,0,0,1.72,1.72,0,0
 60-70,0,0,0.98,0,0,0,0.98,4.91,0,1.96,0,1.96,4.91,0,0,1.96,0.98,0,0,0,0,0,0.98,0,1.96,0,0
 72-82,0,0,0.98,0,2.94,0,1.96,38.28,0,2.94,0.98,7.85,5.89,0.98,0.98,0,9.82,0,0,0,0,1.96,0.98,0.98,3.93,0,0
 84-94,0,1.06,3.19,0,0,0,2.12,78.59,0,5.31,0,36.11,7.43,0,0,0,5.31,0,0,0,1.06,1.06,3.19,0,2.12,0,0
 96-106,0,0,2.19,1.09,3.28,1.09,1.09,201.08,1.09,9.84,0,110.38,5.46,0,0,0,31.69,0,0,0,0,1.09,1.09,0,1.09,1.09,0
108-118,0,0,1.53,0,6.13,0,0.77,202.98,0,5.36,0,139.41,9.19,0,0,0.77,30.64,0,1.53,0,0.77,0,2.3,0,3.06,0,0.77
120,0,0,0,0,1.96,0,0,96.03,0,1.96,0,113.67,5.88,0,0,0,19.6,1.96,0,0,0,1.96,0,0,0,0,0
