stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,2,470,0,0,0,1,0,0,0,2,0,0,5,0,0,0,1,0,1,12,0,0,0,0,0,2,0,2,1,0,0,0,0
 24-34,0,0,322.6,0.82,0,0.82,24.63,0,0,0,0,6.57,1.64,1.64,2.46,0,4.1,6.57,0,1.64,35.3,0.82,0,0,0,0,4.1,0.82,0,2.46,0,1.64,0,0
 36-46,0,0,182.89,0,0,0,14.5,0,0,0,0,8.86,0,2.42,7.25,0,0.81,0,0,0,16.92,0.81,1.61,0,0,0,4.83,2.42,0,2.42,0,0.81,0,0
 48-58,0,0,163.53,0,0,3.44,26.4,0.57,1.72,0,0,6.31,0,0.57,6.31,0,4.59,3.44,0,0.57,16.64,0,0.57,5.74,0,0,2.3,1.72,0,4.59,0,0,0,0
 60-70,0,0,146.25,0,0,8.83,16.69,0.98,2.94,0,0,2.94,0,0,14.72,0,12.76,1.96,0,0,10.8,0,0,3.93,0,0.98,4.91,4.91,0,0.98,0,0,0,0.98
 72-82,0,0,186.52,0,0,14.72,21.6,0.98,6.87,1.96,0,3.93,0,0,7.85,0,53.01,2.94,0.98,0.98,21.6,0,0.98,4.91,0,0,0.98,2.94,0,1.96,3.93,4.91,0,0.98
 84-94,0,0,305.87,0,0,6.37,48.85,1.06,1.06,0,0,0,0,1.06,7.43,1.06,67.97,2.12,0,0,2.12,0,1.06,2.12,0,0,1.06,12.74,0,0,6.37,2.12,1.06,0
 96-106,0,0,361.73,1.09,0,9.84,50.27,0,5.46,1.09,0,1.09,1.09,0,20.76,2.19,130.05,10.93,0,1.09,9.84,0,0,12.02,0,0,5.46,25.14,0,0,12.02,6.56,0,0
108-118,0,0,413.62,1.53,0,6.13,83.49,1.53,3.83,1.53,0,1.53,1.53,0.77,14.55,1.53,140.17,2.3,0.77,0.77,13.79,0,0,3.06,0,0.77,0.77,16.09,0,0,19.15,3.06,0,0.77
120,0,0,329.24,1.96,1.96,7.84,58.79,3.92,0,1.96,0,1.96,0,0,5.88,5.88,99.95,3.92,0,3.92,5.88,0,0,1.96,0,0,0,9.8,0,0,9.8,0,0,0
