stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,777.5,13349.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.25,0,0,0,0,0,0,0,0,0,0
  5-6,582.32,6803.89,0,24.52,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,183.89,6.13,0,0,61.3,0,73.56,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,21.03,0,70.98,0,0,0,139.32,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,1324.87,21.03,0,0,436.37,0,10.51,44.69,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,59.79,0,6.29,0,169.94,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,1403.55,40.91,0,0,453.16,0,9.44,18.88,0,44.06,0,3.15,0,0,0,0,0
 14-21,1,0,0,14,69,28,0,43,0,0,0,15,2,0,0,0,2,0,0,2,30,0,0,21,480,7,3,7,10,0,14,3,43,2,21,157,0,0,1,0,0
 24-34,0,0,0,9.85,48.43,10.67,0,144.47,0,0,0.82,17.24,4.93,0,0.82,1.64,0.82,0.82,0,2.46,82.09,0,1.64,24.63,849.59,4.1,4.1,13.13,0,0,50.07,0,0,0.82,4.93,169.92,0,0,11.49,0,0
 36-46,0,0,0,1.61,21.75,0.81,0,150.66,0,0,0,18.53,1.61,0,1.61,4.03,0.81,0.81,0,2.42,42.7,0.81,2.42,19.34,387.53,0,2.42,6.45,0,0,22.56,3.22,0,0.81,0,82.98,0,0,4.83,0,0
 48-58,0,0,0,0.57,17.79,2.87,0,204.85,0,1.72,2.87,17.21,3.44,0,0,3.44,0.57,0,0.57,2.87,72.87,0,4.02,14.92,190.5,0.57,1.72,3.44,0,0,9.18,0,0,0.57,0,36.72,0,0,2.87,0,0.57
 60-70,0.98,0,0,0,38.28,3.93,0,142.32,0.98,1.96,1.96,28.46,8.83,0,0.98,0.98,1.96,0,0,6.87,56.93,0,6.87,7.85,143.3,0.98,0,4.91,0,0,11.78,0,0,3.93,0,11.78,0,0,9.82,0,0
 72-82,0,0,0.98,0,20.61,7.85,0,94.24,0,1.96,7.85,39.27,8.83,0,1.96,6.87,0.98,0,1.96,7.85,94.24,0,3.93,21.6,108.96,0,3.93,5.89,0,0.98,11.78,0,0,0,0,5.89,0,0.98,21.6,1.96,0
 84-94,0,0,0,1.06,40.36,5.31,1.06,69.03,0,4.25,3.19,22.3,22.3,0,1.06,5.31,2.12,0,1.06,11.68,81.78,1.06,7.43,10.62,90.27,0,3.19,7.43,0,0,40.36,0,0,1.06,0,2.12,1.06,0,12.74,2.12,1.06
 96-106,0,0,1.09,0,44.81,8.74,1.09,55.74,1.09,6.56,1.09,31.69,20.76,0,3.28,9.84,2.19,0,2.19,6.56,85.24,1.09,0,17.49,87.43,2.19,0,4.37,0,0,24.04,0,0,0,0,5.46,0,1.09,19.67,3.28,2.19
108-118,0,0,1.53,0.77,64.34,11.49,3.06,47.49,0,8.43,4.6,37.53,22.21,0,0,9.96,3.83,0,0.77,18.38,83.49,0,4.6,18.38,120.26,2.3,7.66,6.89,0,0.77,47.49,0,0,0.77,0,3.83,3.83,0,16.09,3.06,2.3
120,0,0,0,0,84.27,13.72,0,58.79,0,15.68,1.96,41.16,17.64,0,1.96,21.56,9.8,1.96,5.88,15.68,119.55,0,1.96,25.48,125.43,1.96,5.88,9.8,0,3.92,54.87,0,0,3.92,0,0,1.96,0,13.72,5.88,1.96
