stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,374.49,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,143,20,8,0,0,0,7,2,0,0,0,1,0,0,0,0,12,1,0,3,293,2,0,3,0,0,0,1,3,7,7,63,0,0,7,0,0
 24-34,0,0,0.82,0,116.56,5.75,206.03,0,1.64,0,43.51,0,0,1.64,0,0,0,0.82,0,3.28,69.77,1.64,0,13.13,1367.55,14.78,4.1,15.6,0,0,1.64,0,4.93,0,1.64,324.24,0,0,28.73,0,0
 36-46,0,0,2.42,0,28.2,0.81,463.26,0,0,0,129.71,0,0,3.22,0,0,0,0.81,0,1.61,136.16,0.81,1.61,16.92,893.49,13.7,1.61,8.86,0,0,2.42,0,3.22,0,0,289.24,0,0.81,30.62,0,0.81
 48-58,0,0,0.57,0,20.66,1.15,409.7,0,2.3,3.44,185.34,0,0,1.15,0,0,0.57,2.3,0,8.03,255.92,0,0,31.56,469.37,11.48,1.15,14.35,0,0,1.72,0,0.57,0,0,119.93,0,1.72,17.21,0.57,5.74
 60-70,0,0,0.98,0,22.58,0,460.33,0,0.98,6.87,211.03,0,0,9.82,0,0.98,0,4.91,0.98,0.98,383.78,0,0,31.41,566.34,8.83,0,18.65,0,1.96,0.98,0,0.98,0,0,96.19,0,8.83,13.74,0.98,7.85
 72-82,0,0,0,0,23.56,5.89,485.92,0.98,7.85,5.89,257.2,1.96,0,6.87,0,0,3.93,5.89,0.98,0.98,519.3,0,3.93,32.39,690.11,8.83,2.94,21.6,0,5.89,3.93,0,0.98,0,0,55.95,0.98,14.72,32.39,7.85,8.83
 84-94,0,0,0,0,32.92,1.06,335.6,3.19,4.25,10.62,176.3,0,0,9.56,1.06,0,5.31,2.12,3.19,7.43,358.97,1.06,10.62,33.99,440.75,19.12,2.12,36.11,0,2.12,4.25,0,3.19,0,0,47.79,0,8.5,35.05,9.56,9.56
 96-106,0,0,1.09,0,36.06,9.84,263.38,1.09,2.19,6.56,167.21,2.19,0,7.65,4.37,4.37,6.56,5.46,0,2.19,320.2,0,10.93,31.69,422.93,19.67,4.37,33.88,0,10.93,5.46,0,3.28,0,0,32.79,5.46,9.84,22.95,8.74,9.84
108-118,0.77,0,3.83,0,32.94,4.6,202.21,2.3,3.06,7.66,161.62,1.53,0,1.53,1.53,0,6.89,3.83,1.53,13.02,290.3,0.77,3.83,29.11,516.26,27.57,3.83,25.28,0,5.36,7.66,0,2.3,0,0,17.62,1.53,6.13,18.38,6.89,14.55
120,1.96,0,0,0,45.08,11.76,168.54,1.96,5.88,5.88,139.14,1.96,0,11.76,3.92,1.96,0,1.96,1.96,5.88,274.37,0,3.92,31.36,619.29,35.28,3.92,35.28,0,7.84,3.92,0,1.96,0,0,19.6,3.92,7.84,17.64,7.84,3.92
