stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,52.57,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,12.59,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,12,1,0,1,0,0,1,0,0,0,0,0,0,7,0,0,1,0,1,1,1,0,28,1,1,0,0,0,0
 24-34,0,0,0.82,0.82,6.57,0,0,0,0.82,0,0.82,0,0,0,0,0.82,9.85,0,0,0,0,0,0,0,0,24.63,0,0,0,6.57,0,0
 36-46,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,4.03,0,0,1.61,0.81,0.81,0,0,0.81,0.81,0,0,5.64,0,1.61,0,8.86,0.81,0
 48-58,0,0,0.57,0,2.87,0,0,1.72,0,0,0,0,0,24.1,0.57,2.3,4.59,0,5.16,0,0.57,0,0,0,0,3.44,0,0.57,4.02,5.16,0.57,0.57
 60-70,0,0,0.98,0,5.89,0.98,0,3.93,0.98,0,0,0.98,0,67.73,3.93,4.91,15.7,0,3.93,0.98,12.76,0,0,0,0,3.93,0,1.96,6.87,6.87,0.98,0
 72-82,0,0,1.96,0,21.6,1.96,0.98,6.87,3.93,0,1.96,0,0,111.91,9.82,11.78,23.56,0,9.82,0,20.61,0,0,0,0,1.96,0,1.96,30.43,16.69,9.82,0
 84-94,0,0,0,0,31.86,2.12,0,4.25,3.19,0,1.06,0,0,71.16,9.56,6.37,21.24,0,5.31,0,16.99,0,0,0,1.06,2.12,0,2.12,15.93,7.43,5.31,0
 96-106,0,0,4.37,1.09,19.67,4.37,0,2.19,3.28,0,1.09,0,2.19,89.61,20.76,5.46,14.21,0,15.3,0,38.25,1.09,0,0,0,6.56,0,1.09,34.97,15.3,6.56,0
108-118,0,0,3.06,0,14.55,3.06,0,9.96,0.77,0,1.53,0.77,0,75.06,14.55,3.83,23.74,0,14.55,0,47.49,0,0,0,0,4.6,0,0,22.98,8.43,9.96,0
120,0,0,3.92,0,5.88,0,0,5.88,0,0,0,0,0,64.67,11.76,5.88,21.56,0,15.68,1.96,35.28,0,0,0,0,1.96,0,0,23.52,5.88,3.92,0
