stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,3,0,0,3,1
 24-34,0,0.82,0.82,0,0,0,0,0.82,0,5.75,0,0,0,1.64
 36-46,0,0,0,0,0.81,0,0,0,0,8.86,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,2.94,0,1.96,0,0.98
 72-82,0,0,0,0.98,0.98,0,0,0.98,0,1.96,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0,0,0,0,0,1.53,0,0
