stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,somites,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0.57,5.16,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.94,0.98,0,0.98,0,0,0,0.98,0,0,1.96,0
 72-82,0,0,0,0,0.98,0,12.76,0.98,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,12.74,2.12,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,29.51,5.46,2.19,1.09,0,1.09,0,2.19,1.09,0,2.19,0
108-118,0,0,0,0.77,0,0,24.51,0,0,0.77,0.77,0,0,1.53,0.77,0,0.77,0.77
120,0,3.92,0,0,1.96,0,17.64,3.92,0,0,0,0,0,1.96,3.92,0,1.96,0
