stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,14,1,0,1,2,0,0
 24-34,0,0,2.46,0.82,1.64,0,0,0,0,0,4.1,0,0,0,1.64,0,0.82,14.78,0,0,0,0,0,87.01,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,1.61,0,0,0,0,1.61,0,7.25,0.81,0,0,0,0,123.27,0,0,0,2.42,0,0
 48-58,0,0,2.3,0,6.31,0,0.57,0,0.57,0,1.72,0,0,0,1.15,2.87,0,10.9,0.57,0,0.57,0,0,91.81,0,0,0,0.57,0,0.57
 60-70,0,0,3.93,0,3.93,2.94,0,0,0,0,0.98,0,1.96,0,1.96,4.91,0.98,8.83,0,0,2.94,0,0.98,106,0,0,0,0,0,0
 72-82,0,0.98,11.78,0,4.91,1.96,0,0,0,0.98,1.96,2.94,0,0,0.98,5.89,0,4.91,0,0.98,1.96,0,0,95.22,0,0,0,0,0.98,0.98
 84-94,0,0,15.93,0,1.06,3.19,0,1.06,2.12,1.06,5.31,0,0,0,2.12,4.25,0,5.31,0,0,2.12,0,0,267.63,0,0,0,0,3.19,0
 96-106,0,0,54.64,0,8.74,4.37,0,2.19,5.46,4.37,13.11,1.09,0,1.09,6.56,4.37,0,8.74,0,2.19,0,0,0,243.7,0,1.09,0,0,5.46,0
108-118,0,0,37.53,1.53,1.53,3.83,0,0,5.36,6.13,9.96,0,0,0,3.06,5.36,0.77,9.96,0,0,0,0,0,191.49,0,0,0,0,8.43,0
120,0,0,27.44,0,1.96,5.88,0,0,0,0,3.92,0,0,0,0,3.92,0,5.88,0,0,3.92,0,0,129.35,0,0,0,0,1.96,0
