stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,2,12,1,1,0,6,2,1,0,2,0,8,168,0,3,1,4,0,4,57,0
 24-34,0.82,4.93,0,6.57,0,6.57,0,0,0,11.49,0,4.1,212.6,0.82,0,0,0,0.82,1.64,101.79,0.82
 36-46,0,0,0,0.81,0,4.03,0,0,0.81,9.67,0,4.83,36.26,0,0,0,0,0,0,29,0
 48-58,0,0.57,0,0.57,0,0,0,0,0,1.15,0.57,0.57,4.02,0,0,0,0,0.57,0,4.02,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
