stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,3.15,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,188.82,28.32,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,4,0,7,0,0,5,0,1,1,0,0,0,0,3,20,0,13,146,3,1,0,3,0,0,16,0,8,27,63,0,2,0,0
 24-34,0,0,0,2.46,0.82,0,18.06,0,0.82,1.64,0,0,0.82,0.82,0,0,0.82,1.64,32.83,0,17.24,214.24,4.1,0,0,0,0,0.82,0,0,0,2.46,55.82,0,10.67,0,1.64
 36-46,0,0,1.61,0,0,0,30.62,0,1.61,11.28,0,0.81,0.81,0,0,0,0,0.81,46.73,0.81,13.7,384.3,3.22,0,0,0,0,1.61,0,0,0.81,0,85.4,0,5.64,0,0.81
 48-58,0,0,0,2.3,0,0,52.79,0,1.72,30.99,0,0,0.57,0,0,2.3,0,1.15,54.51,1.72,11.48,411.99,1.15,1.15,0.57,0,0,0,0,0,0,0,92.38,0,2.3,0,0.57
 60-70,0,0,0,0,0,0,106,0,2.94,47.11,0,0,0.98,0,0,2.94,0,0.98,69.69,0,2.94,554.56,0.98,1.96,0,0,0,0.98,0.98,0,0,0,108.95,1.96,0,0.98,3.93
 72-82,0,0,0,2.94,0.98,0,167.86,0,3.93,88.35,0,0,0,0.98,0,0,0,0.98,129.58,3.93,9.82,598.81,1.96,3.93,1.96,0,0,0,0,0,0,0,59.88,6.87,5.89,2.94,1.96
 84-94,0,0,0,4.25,0,0,105.14,1.06,5.31,48.85,0,0,0,0,2.12,1.06,0,3.19,67.97,2.12,7.43,271.88,2.12,1.06,1.06,0,0,2.12,0,0,0,0,20.18,4.25,8.5,4.25,2.12
 96-106,0,0,0,6.56,0,1.09,93.98,0,4.37,64.48,0,0,1.09,1.09,0,4.37,0,1.09,65.57,4.37,5.46,202.18,3.28,3.28,1.09,0,0,0,0,2.19,0,0,21.86,2.19,12.02,2.19,1.09
108-118,0,0,0.77,2.3,0,1.53,78.89,0.77,3.06,44.43,1.53,0,0,0.77,0.77,1.53,0,1.53,45.19,0.77,6.13,218.3,0.77,0.77,0.77,0,0.77,2.3,0,0.77,0,0,9.96,0,4.6,0.77,4.6
120,0,0,0,7.84,1.96,1.96,78.39,0,1.96,50.95,0,0,0,5.88,0,0,0,0,56.83,3.92,5.88,227.34,3.92,3.92,0,0,0,0,0,0,0,0,5.88,1.96,5.88,1.96,0
