stage,axial,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,1,0,11,0,0,1,0,0,3,35,1,0,0,1,0,0
 24-34,0,0,1.64,0.82,0,0,0,0.82,0,0,0,0,3.28,0,0,4.1,95.22,0,0,0,0,0.82,0
 36-46,0,0,0.81,1.61,0.81,0.81,0,0,0,0,0,0,3.22,0,0,4.83,170.8,0,0,0,0,1.61,0
 48-58,0.57,0,0,1.72,0,0,0.57,0.57,0,0,0,0,1.15,0,0.57,5.74,149.76,0,0,0,0,0.57,0
 60-70,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,8.83,106.99,0,0,0,0,2.94,0
 72-82,0,0.98,0,5.89,0,0,0,0.98,0.98,1.96,0,0,3.93,2.94,0,5.89,82.46,0,0,0,0,0,0.98
 84-94,0,0,2.12,2.12,0,0,0,1.06,2.12,0,0,0,2.12,1.06,0,1.06,133.82,0,0,0,0,0,0
 96-106,0,0,2.19,2.19,0,0,0,5.46,5.46,0,0,0,4.37,1.09,0,4.37,96.17,0,0,1.09,0,0,0
108-118,0.77,0,0.77,2.3,0,0,0,2.3,3.83,0,0.77,0.77,1.53,1.53,0,9.19,116.43,0,0.77,0,0,0,0
120,3.92,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,1.96,1.96,154.82,0,0,0,0,0,0
