stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,10,0,20,0,0,0,0,1,0,0,0,0,3,0,1,4,0,0,0,0,0,1,4,0,1,0,0,0,0
 24-34,1.64,0,80.44,0,0.82,0,0,0.82,0,0,0,0,8.21,0,8.21,10.67,0,0,0,0,0,0,0,1.64,3.28,0,0,0,0
 36-46,2.42,0,56.4,0,3.22,1.61,0,3.22,0,0,0,0,78.15,0,49.15,8.86,0,0,0,0,0,0,0.81,0.81,3.22,0,0.81,0,0
 48-58,0,0,36.15,0,0.57,0.57,0,0.57,0,0,0,0,100.99,2.3,39.59,4.02,0,0,0,0,0,0,0,0,0.57,0,1.72,0,0
 60-70,0,0,23.56,0,10.8,8.83,0.98,0,0,0,0,0,170.78,2.94,31.41,7.85,0,0,0,4.91,0,0,0,0.98,2.94,0,10.8,1.96,2.94
 72-82,0,0.98,19.63,0,1.96,5.89,0,1.96,0,0,0,0,241.49,8.83,26.5,7.85,0.98,0.98,0,3.93,0.98,0,0,0,0,0,22.58,0,1.96
 84-94,1.06,0,37.17,1.06,10.62,4.25,0,0,0,0,0,0,148.69,7.43,12.74,1.06,0,0,0,3.19,0,0,0,0,0,0,22.3,0,3.19
 96-106,1.09,0,28.41,0,14.21,4.37,0,0,1.09,0,0,1.09,140.98,17.49,13.11,16.39,0,0,0,8.74,1.09,0,0,0,1.09,0,21.86,1.09,3.28
108-118,1.53,0.77,33.7,0,13.02,7.66,0,0,0,0.77,0,0,105.7,10.72,11.49,5.36,0,0,0,11.49,0,0,0,0,0.77,0.77,19.92,0,3.83
120,1.96,0,23.52,0,11.76,1.96,0,0,0,1.96,1.96,0,68.59,5.88,5.88,1.96,0,0,0,3.92,0,0,0,0,0,0,25.48,0,3.92
