stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1647.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1170.76,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,23.66,0,42.06,0,0,92,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,762.33,21.03,0,0,252.36,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,25.18,0,9.44,66.09,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,572.75,12.59,0,0,220.29,0,0,6.29,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,18,12,17,0,0,0,4,0,0,0,0,0,0,0,0,0,17,0,20,170,3,0,3,3,0,1,0,28,2,4,38,55,0,0,0,0,0
 24-34,0,0,0.82,0,7.39,0.82,12.31,0,1.64,0.82,2.46,0,0,0,0.82,0.82,0,0,0,0,19.7,0,6.57,208.5,1.64,0.82,1.64,0,0,3.28,0,0,0,0.82,1.64,36.12,0,0,0.82,0,0
 36-46,0,0,0,0,7.25,0,35.45,0,1.61,0,7.25,0,0,0,0,0,0,0,0.81,2.42,17.72,1.61,6.45,141.8,0,0,0,0,0,5.64,0,0.81,0,0,0,31.42,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.72,0.57,39.59,0,0.57,2.3,10.33,0,0,0.57,0,0,0,0,0,0.57,23.53,0,4.59,95.25,0,0,0,0,0,1.72,0,0,0,0.57,0,19.51,0,0.57,3.44,0,0
 60-70,0,0,0,0,2.94,0,60.85,0,1.96,0.98,15.7,0,0,0.98,0,0,0,0,0,0,25.52,0.98,3.93,98.15,1.96,0,0,0,0,1.96,0,0,0,0,0,15.7,0,0,0.98,0.98,0.98
 72-82,0,0,0,0,1.96,0,43.19,0,0.98,3.93,23.56,0.98,0,0,0,0,0,0,0.98,0,38.28,0,3.93,99.15,0.98,0,0.98,0,0,0.98,0,0,0,0,0,9.82,0,0.98,3.93,0,1.96
 84-94,0,0,1.06,0,6.37,0,32.92,0,3.19,0,4.25,0,0,0,2.12,1.06,1.06,0,1.06,0,21.24,4.25,5.31,48.85,1.06,0,4.25,0,0,8.5,0,0,0,0,0,9.56,0,0,2.12,2.12,2.12
 96-106,0,0,0,0,3.28,0,22.95,0,0,1.09,12.02,1.09,0,0,1.09,1.09,0,2.19,0,0,22.95,1.09,5.46,36.06,1.09,0,1.09,0,1.09,8.74,0,0,0,0,0,7.65,1.09,0,5.46,0,4.37
108-118,0,0,0,0,6.13,0,9.19,1.53,2.3,2.3,9.19,1.53,0,0,0.77,0,2.3,0.77,0,0.77,30.64,0.77,6.13,57.45,0.77,0,0.77,0,0,9.96,0,0,1.53,0,0,3.06,0,0,0.77,0.77,3.06
120,0,0,0,0,15.68,0,5.88,1.96,0,1.96,3.92,1.96,0,0,0,0,3.92,1.96,1.96,0,31.36,0,9.8,60.75,1.96,1.96,1.96,0,0,7.84,0,0,1.96,0,0,0,0,0,1.96,0,0
