stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,5,3,0,7,0,0,0,0,0,0,0,0,2,0,0,80,0,0,0,7,0,0,6,9,22,0,0,0,0
 24-34,0,0,0.82,0.82,0,14.78,0,2.46,0,0.82,0,0.82,0,0,9.85,0,1.64,131.34,0,0.82,3.28,0,0,0,0,1.64,23.8,0,0,0.82,0.82
 36-46,0,0,0,0,0,15.31,0,4.03,0,0,0,0,0,0.81,14.5,1.61,0,66.06,0,0,0,0,0,1.61,0,0,16.11,0,0,1.61,0
 48-58,0,0,0,0,0,29.26,0.57,1.72,0.57,0,0.57,0,0,0,13.77,0,1.72,30.99,0.57,0,0.57,0,0,1.15,0,0,5.74,0,0,0.57,0
 60-70,0,0,0.98,0,0,23.56,0,5.89,0.98,0,0,0,0,0,6.87,0,2.94,12.76,0,0,0,0,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0.98,0,6.87,0,1.96,0,0,0,0,0,0,6.87,0,0.98,12.76,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,1.06,0,1.06,5.31,1.06,6.37,1.06,0,0,0,1.06,1.06,2.12,0,2.12,5.31,0,0,0,0,1.06,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,3.28,0,1.09,7.65,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,3.06,0,3.06,0.77,0,0,0,0.77,0,3.83,0,1.53,5.36,0,0,0,0,0,0,0,0,0.77,0.77,0.77,1.53,0
120,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0
