stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,5,2,0,0,0,0,1,1,1,0,0,0,4,0,0,1,33,2,1,1,0,0,1,6,1,2,3,13,0,0,0,0
 24-34,0,0,0,0.82,0,9.85,0,0,0,1.64,0,0,0.82,0,0.82,4.93,0.82,0,4.93,74.7,0,0,1.64,0,0,2.46,0,0,0,1.64,9.03,0,0.82,0,0
 36-46,0,0,0,2.42,0,8.86,0,0.81,0,2.42,0,0,0.81,0,0,13.7,0,0,2.42,78.15,0,0,0,0,0.81,0,0,0,0,0,20.95,0,0,0,0.81
 48-58,0,0,0,1.15,0,16.07,0,0,0.57,7.46,0,0,0,0,0,13.2,0.57,0,2.87,69.43,0,0,1.72,0,0,0,0,0,0,0,16.64,0,1.15,0,0
 60-70,0,0,0,1.96,0,15.7,0.98,0,0,9.82,0.98,0,0,0.98,0.98,17.67,0,0,1.96,88.34,0.98,0.98,0,0,0,0,0,0,0,0,12.76,0.98,1.96,0.98,0
 72-82,0,0,0.98,0.98,0.98,11.78,0.98,0,0,13.74,0.98,0.98,0,0,0,20.61,0,0.98,4.91,52.03,0,1.96,0,0,1.96,0,0,0,0,0,7.85,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,0,6.37,0,0,1.06,3.19,0,0,3.19,0,1.06,14.87,0,0,2.12,28.68,0,1.06,1.06,0,0,4.25,0,0,0,0,5.31,0,1.06,1.06,0
 96-106,0,0,1.09,1.09,0,7.65,0,1.09,1.09,4.37,0,0,1.09,1.09,1.09,4.37,0,0,0,16.39,0,0,0,0,1.09,2.19,0,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0,3.83,0.77,9.96,0.77,0,0,4.6,0,0.77,3.06,0,0,13.02,0,0.77,1.53,30.64,0,0.77,0,0,0,1.53,0,0,0,0,1.53,0,1.53,0,0
120,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,11.76,0,0,1.96,9.8,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,1.96,0
