stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,8,0,1,2,3,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0.82,1.64,0,0.82,0,0,0,0,0,2.46,0,0.82,2.46,0.82,1.64,0,0,6.57,0,0,0,0,1.64,4.93,0,0,1.64
 36-46,0,0,0,0,0,0.81,0,0,0,0,2.42,0.81,0,0,0.81,0,1.61,0,0.81,6.45,4.03,0,0,0,6.45,0,0,0,0,0,0,0,0,1.61
 48-58,0,0,0.57,0,0.57,0,0.57,0.57,0.57,0,1.15,0,0,0,0,0,8.03,0,0,6.31,0.57,0,0,0,4.59,0,0,0,0,0,0.57,0,0,1.15
 60-70,0,0,0.98,0,0,0,0,3.93,3.93,0,0,0.98,0,0,0,0,35.33,0,0.98,3.93,2.94,0,0,0,4.91,0,0,0.98,0,0,2.94,0,0.98,0
 72-82,0,0,0.98,0,0.98,0,0,0.98,9.82,1.96,1.96,6.87,0,0,0,0,53.01,0,0,9.82,0,0.98,0,0,5.89,0,0,0,0,0,0,0.98,0,4.91
 84-94,0,1.06,6.37,1.06,3.19,0,0,2.12,9.56,4.25,0,13.81,0,0,0,0,58.41,1.06,2.12,12.74,1.06,0,0,0,16.99,0,0,0,0,0,0,1.06,0,4.25
 96-106,0,0,3.28,0,1.09,0,0,0,3.28,1.09,5.46,12.02,1.09,0,1.09,0,36.06,0,2.19,4.37,1.09,1.09,0,1.09,19.67,1.09,0,0,0,0,0,1.09,0,9.84
108-118,0,0,6.89,0.77,0.77,0,0,0,3.83,0.77,0.77,11.49,1.53,0.77,0,0.77,26.81,0,3.06,6.13,0.77,0.77,0,0,9.19,0,0,0,0,0,0,0.77,0,4.6
120,0,0,0,1.96,0,0,1.96,3.92,5.88,5.88,1.96,21.56,0,0,0,0,21.56,0,0,5.88,1.96,0,0,0,9.8,0,0,0,0,0,0,1.96,0,9.8
