stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1647.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,5.26,0,34.17,0,0,0,28.92,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,249.73,23.66,0,0,115.66,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,15.73,0,0,0,78.67,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,314.7,15.73,0,0,125.88,0,3.15,3.15,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,28,14,0,49,0,0,0,3,1,11,0,0,6,0,0,2,1,20,2,0,15,272,8,1,4,5,4,2,37,6,3,82,72,0,0,0,0,0
 24-34,0,0,0.82,4.1,6.57,0,0,44.33,0,0.82,0,3.28,1.64,0,0,0,23.8,0.82,0,0.82,0,22.16,2.46,0.82,9.85,219.17,1.64,0.82,4.93,0,8.21,0,0,4.1,1.64,8.21,36.94,0,0,0.82,0,0.82
 36-46,0,0,0,0,4.03,0.81,0,29.81,0,0.81,0,4.03,3.22,0,0.81,0,3.22,0.81,0.81,0.81,0,9.67,0,0,6.45,119.24,0.81,2.42,0.81,0,1.61,0.81,0,1.61,0.81,0,28.2,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,2.3,0,0,39.02,1.15,0.57,0,11.48,4.02,0,0,1.72,6.31,1.15,0.57,3.44,0,8.03,0,1.72,6.89,107.88,0.57,2.3,1.15,0,0.57,0,0,1.15,0.57,0,29.84,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,3.93,0,36.32,1.96,0.98,0,18.65,4.91,0,0,0.98,3.93,0.98,0,4.91,0,5.89,0.98,0.98,6.87,160.97,0.98,3.93,0,0,1.96,0,0,1.96,0,0,17.67,0,0,1.96,0,0
 72-82,0,0,0.98,0,4.91,2.94,0.98,48.1,0,1.96,0.98,30.43,12.76,0,0,0.98,13.74,0,0,8.83,0,11.78,0,1.96,6.87,178.66,1.96,3.93,0,0,4.91,0,0,1.96,0,0,11.78,0,0,4.91,3.93,0
 84-94,0,0,2.12,0,15.93,4.25,5.31,36.11,1.06,1.06,2.12,12.74,11.68,0,0,2.12,13.81,4.25,0,6.37,1.06,22.3,2.12,1.06,12.74,107.27,0,4.25,2.12,0,10.62,0,0,1.06,3.19,0,8.5,0,0,4.25,1.06,0
 96-106,0,0,3.28,0,15.3,4.37,2.19,37.16,1.09,1.09,1.09,31.69,13.11,0,2.19,7.65,14.21,0,1.09,9.84,1.09,27.32,0,2.19,10.93,99.45,0,12.02,3.28,0,15.3,0,0,1.09,1.09,0,5.46,1.09,1.09,5.46,2.19,1.09
108-118,0,0,0,0,17.62,6.13,3.06,47.49,0,3.06,1.53,25.28,9.96,0,0,7.66,15.32,1.53,1.53,6.13,0.77,29.87,0,0.77,16.09,149.36,0,6.13,1.53,0,15.32,1.53,0,4.6,4.6,0,1.53,0.77,0,4.6,2.3,1.53
120,0,0,5.88,0,23.52,7.84,0,48.99,0,3.92,1.96,37.24,13.72,0,0,7.84,3.92,1.96,0,7.84,0,29.4,0,0,21.56,184.22,1.96,7.84,1.96,0,17.64,1.96,0,11.76,0,0,0,0,0,1.96,1.96,0
