stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,15.73,6.29,0,0,40.91,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,7,0,0,0,2,0,2,1,0,0,0,0,1,2,0,0,5,20,0,0,0,0,0,1,10,0,0,17,4,0,0,0
 24-34,0,0,0.82,0,0,4.1,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,13.13,0,0,0,0,0,0.82,0,0.82,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,3.22,0.81,0,0,0.81,0,0,0,0,0,0,0,3.22,0,0,0,0,9.67,0,0,0,0,0,0.81,0,0,0.81,0,0.81,0,0,2.42
 48-58,0,0,0,0,0,3.44,0,0,0,0.57,0,0,0.57,0,0,0,0,0,1.15,0.57,0,0,3.44,0,0,0.57,0,0,0.57,0,0,0.57,0,1.15,0,0,0
 60-70,0,0,0.98,0,0,19.63,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0.98,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,0,1.96,0,8.83,2.94,0,0.98,0.98,0,0,0,0,1.96,0,0,0,4.91,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,2.12,0,0,10.62,0,0,1.06,2.12,0,1.06,0,1.06,4.25,1.06,1.06,0,1.06,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,2.19,2.19,0,20.76,0,2.19,0,4.37,0,0,0,2.19,2.19,1.09,0,0,5.46,0,0,1.09,2.19,0,0,0,0,0,3.28,0,0,0,0,0,0,1.09,0
108-118,0,0,1.53,0,0.77,10.72,0,1.53,0,1.53,0,0,0,0,3.06,0,0,0.77,6.89,0,0,0.77,6.89,0,0,0,0,0,0.77,0,0,0,0,0,0,0,1.53
120,0,0,5.88,0,1.96,7.84,0,0,0,0,1.96,0,0,1.96,11.76,0,0,0,7.84,1.96,0,1.96,7.84,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0
