stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,1,0,1,2,0,5,7,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,4.93,0.82,0,0,0,0,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,0.81,0,0,0,0.81,0,0,26.59,0,0,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0,0.57,0,0,0,1.15,0,0.57,14.92,1.15,0,0.57,0,0,0,0,2.87,0,0.57
 60-70,0,0,0,0.98,0,1.96,0,0,0.98,0,0,0,0,0,0,3.93,0,0.98,25.52,3.93,0,1.96,0,0,0.98,0,5.89,0,0
 72-82,0,0.98,0,1.96,0,2.94,0,0,0,3.93,0,0,0.98,0,0.98,11.78,0,0,33.38,10.8,0.98,0.98,0,0,0,0,2.94,0,0
 84-94,0,0,0,2.12,0,2.12,0,0,0,0,1.06,0,0,0,0,5.31,0,1.06,5.31,2.12,0,3.19,0,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,0,0,0,1.09,2.19,1.09,0,0,0,1.09,9.84,0,0,8.74,6.56,0,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0,1.53,0,0.77,0,0,1.53,2.3,0,0,0.77,0,0,7.66,0.77,1.53,16.85,2.3,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,5.88,0,0,7.84,0,3.92,23.52,1.96,1.96,0,0,0,0,0,0,0,0
