stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0.82,10.67,0,0.82,0,0,0.82,0.82,0,0
 36-46,0,0,0,2.42,0,0,0,0,0.81,0,0,6.45,0,0,0,0.81,0,1.61,0,0
 48-58,0,0,0,1.72,0,0,0,0,1.72,0.57,0.57,1.72,0,0,0,0,0,0,0,0
 60-70,0,0,0,4.91,0.98,0,0.98,0,0.98,0,0,2.94,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,0,8.83,0,0.98,0,0,1.96,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,4.25,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,1.09,0,0,4.37,3.28,0,21.86,2.19,1.09,0,0,5.46,1.09,2.19,0,0,0,0,0,0
108-118,0.77,0,0.77,3.06,0.77,0.77,20.68,0.77,3.06,0,0,4.6,0,0,0,0.77,0,0,0,0.77
120,1.96,0,0,5.88,0,0,37.24,0,0,0,1.96,0,0,0,0,0,0,0,0,0
