stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,49.04,980.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,23.66,42.06,36.8,0,2.63,102.52,0,0,0,0,0,0,0,0,0,0,0,1075.14,28.92,0,0,249.73,0,5.26,0,0,0,0,0,0
 10-12,0,12.59,34.62,0,6.29,59.79,0,0,0,0,0,0,0,0,0,0,0,601.07,31.47,0,0,169.94,0,3.15,3.15,9.44,0,6.29,0,0
 14-21,0,0,0,5,3,2,0,0,0,0,0,0,1,0,0,6,6,68,3,0,1,1,0,1,4,0,8,31,1,0
 24-34,0,0,0,4.1,0,2.46,0,0,4.1,0,0.82,0.82,0.82,0,0.82,5.75,2.46,67.31,0.82,1.64,1.64,0,0,0,0,0,0,18.06,0.82,0
 36-46,0,0,0,0.81,0,4.83,0,0,4.03,0,0,0,0,0,0,4.03,1.61,31.42,0,0,0.81,0,0,0,0,0,0,12.09,1.61,0
 48-58,0,0,0,0,0,6.89,0,0,2.3,0.57,0,0,0,0,0,6.89,0.57,17.79,0,0,0.57,0,0,0,0,0,0,6.31,0,0.57
 60-70,0,0,0,1.96,0,3.93,0,0,6.87,0,0,0,0,0,0,7.85,0.98,9.82,0.98,0.98,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,0,3.93,0,0,10.8,0,0,0,0,0,0,12.76,0.98,9.82,0,0.98,1.96,0,0.98,0,0,0,0,0,1.96,0
 84-94,1.06,0,0,2.12,0,1.06,1.06,0,6.37,0,0,0,1.06,0,0,9.56,3.19,8.5,0,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,3.28,0,1.09,7.65,0,0,0,0,0,0,8.74,2.19,5.46,0,0,1.09,0,0,2.19,0,0,0,0,3.28,0
108-118,0,0,0,1.53,0,0.77,3.06,0,6.89,0,0,1.53,0.77,0.77,0,7.66,3.06,3.06,0.77,2.3,0,0,0,0.77,0,0.77,0,0,0,0
120,0,0,0,3.92,0,3.92,3.92,0,3.92,0,1.96,1.96,0,0,0,5.88,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0
