stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,22.98,0,2.46,0,7.39,0,0,0
 36-46,0,0,0,2.42,0,1.61,0,0,0,0,97.49,0,3.22,0,19.34,0,0,0
 48-58,0,0,0,16.64,0,0.57,0,0,0,0.57,112.47,0.57,0.57,0,14.92,0.57,0,0
 60-70,0,1.96,0,40.24,0,0.98,0,0.98,0,0,241.45,0,0.98,0,26.5,0,0,0
 72-82,0,0.98,0,48.1,0,3.93,0.98,4.91,0,0,212.04,0,0.98,0,16.69,0,0,0.98
 84-94,0,1.06,0,31.86,1.06,4.25,0,2.12,0,1.06,106.2,0,0,1.06,11.68,0,0,0
 96-106,0,1.09,0,20.76,0,0,0,0,0,0,71.04,0,1.09,0,7.65,0,0,0
108-118,0,0.77,1.53,26.81,0,1.53,0,1.53,0,0,88.09,0,1.53,0,3.83,0,0.77,0
120,0,1.96,0,35.28,0,1.96,0,0,1.96,0,143.06,0,3.92,0,7.84,0,0,0
