stage,blastomeres,endoderm,epidermis,eye,immune,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,15.77,18.4,63.09,2.63,0,0
 10-12,0,6.29,0,0,0,0,18.88,0,34.62,0,3.15,0
 14-21,0,0,3,0,0,0,6,2,2,1,0,9
 24-34,0,0,2.46,0,0,0.82,2.46,0,0,0,0,0.82
 36-46,0,0,3.22,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,2.3,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,7.85,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0
