stage,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,28,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,2,8,2,0,0,0,0
 24-34,32.83,0,1.64,0,0.82,0,0.82,0,0,0,1.64,0.82,30.37,0,0,4.93,1.64,4.1,0.82,17.24,0,0,0,0
 36-46,6.45,0,3.22,0,0,0.81,0,0,0,0,5.64,0,29,0,0.81,1.61,0,1.61,0,2.42,0,0,0.81,0
 48-58,1.15,0,2.3,0,0,0,0,0,0,0,7.46,0,13.77,0,0,0,0,3.44,0,2.87,0,0,0,0
 60-70,0,0,3.93,0,0,0,0,0,0,0,6.87,0,16.69,0,0,0.98,0,4.91,0,3.93,0,0,0,0
 72-82,0,0,14.72,0,2.94,0.98,0,0,0,0,11.78,0.98,22.58,0,0,0,0,0.98,0,1.96,0.98,1.96,0,0.98
 84-94,0,0,11.68,0,0,1.06,0,0,0,1.06,9.56,0,13.81,0,0,0,0,2.12,0,2.12,1.06,1.06,0,0
 96-106,2.19,0,20.76,1.09,1.09,2.19,0,0,3.28,0,7.65,1.09,15.3,1.09,0,1.09,0,3.28,0,2.19,3.28,0,0,0
108-118,0,0.77,14.55,0.77,0,2.3,0.77,0.77,3.06,0,3.83,0,17.62,0,0,0,0,3.83,0,0,3.06,0,0,0.77
120,3.92,0,17.64,0,0,3.92,0,0,3.92,0,7.84,1.96,13.72,0,0,0,0,0,0,0,0,1.96,0,0
