stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,79.07,1251.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,18.39,429.07,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,36.8,0,0,15.77,0,2.63,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,0,0,0,0,3,4,1,0,0,0,0,4,1,1,6
 24-34,0,0,0,0,0,1.64,0,0,0,0,1.64,0,0,4.93,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0.81,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.72,0.57,0,0.57,0,0.57,0,0,1.15,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,3.93,0,0,0.98,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,2.12,1.06,0,0,1.06,0,19.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,3.28,1.09,0,0,1.09,0,19.67,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,6.13,0.77,0,0,0,0,9.96,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,13.72,0,0,0,0,0,0,0
