stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
 24-34,3.28,0,0,0.82,0,0,0,0.82,0,0,27.91,0,0,0,1.64,0,5.75,0,0.82,0,0,0,0,0.82,2.46,0,0,0
 36-46,0.81,0,0,3.22,0,0,0,0,0,0,20.14,0,0,0,1.61,0,8.06,0,0,0.81,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,2.87,0,0,0,0,0,0,12.62,0,0,0,2.87,0.57,5.16,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,3.93,0,0,29.45,0,0,0,0.98,0,0.98,12.76,0,0,0,0,0,6.87,0,0,0,0,0.98,0,0,0.98,0,0,0
 72-82,2.94,0.98,0,14.72,1.96,0,0,1.96,0,0,24.54,0,0,0.98,0.98,0,8.83,0,0,0,0,0,1.96,0.98,0,0.98,0,0
 84-94,7.43,0,0,8.5,0,1.06,0,6.37,1.06,0,45.67,1.06,0,1.06,2.12,0,0,0,2.12,0,0,0,3.19,0,0,1.06,1.06,0
 96-106,22.95,1.09,1.09,6.56,0,1.09,1.09,0,3.28,3.28,57.92,9.84,0,7.65,1.09,0,3.28,1.09,5.46,0,0,0,2.19,0,2.19,0,1.09,0
108-118,13.02,0,0,3.06,0,0.77,0,3.83,0,0.77,78.13,8.43,0,0.77,5.36,0,4.6,0,6.89,0.77,0,0,0.77,0,0,0,0,0.77
120,7.84,0,1.96,7.84,0,7.84,0,0,0,0,41.16,3.92,1.96,5.88,0,0,5.88,0,3.92,0,0,0,0,0,0,0,0,0
