stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1,0,7,0,0,1,0,0,1,2,0,0,0,0,0,0,0,9,0,0,1,48,2,0,1,0,1,0,1,15,0,0,2,0
 24-34,1.64,0.82,9.03,0.82,0,2.46,1.64,0,0.82,0,3.28,0,0,0,0,0,0,96.04,0,0.82,17.24,58.28,1.64,2.46,2.46,0.82,0,0,0,44.33,0,0,2.46,0
 36-46,0.81,0,7.25,0,0,4.83,0.81,1.61,0,0,3.22,0,0,0,0,0,0,260.23,0,16.11,17.72,78.96,0.81,1.61,0,2.42,0,0,0,87.01,0,0,0.81,0
 48-58,1.72,0,8.03,0.57,0,19.51,1.15,7.46,3.44,0,3.44,0,0,0,0,0.57,0.57,338.54,0.57,22.95,19.51,109.6,0.57,0,0,8.03,0.57,0,0,47.63,0,0.57,0.57,0
 60-70,0.98,0,13.74,0.98,0,43.19,5.89,15.7,0,0,2.94,0,0,0,0,0.98,0,508.43,0,26.5,19.63,245.38,1.96,0,0.98,3.93,1.96,0,0,51.04,0,4.91,0,1.96
 72-82,2.94,0,8.83,0.98,0,66.75,3.93,23.56,14.72,0,0,0.98,0,0,0.98,0,0,599.8,0,25.52,31.41,275.85,0,0,3.93,1.96,0,0,0,48.1,0,2.94,0,4.91
 84-94,1.06,0,25.49,0,0,90.27,4.25,19.12,7.43,0,3.19,3.19,0,0,0,0,0,409.95,1.06,26.55,14.87,192.23,3.19,2.12,1.06,5.31,5.31,1.06,0,23.36,0,4.25,1.06,7.43
 96-106,1.09,0,17.49,0,0,49.18,5.46,7.65,12.02,0,1.09,0,0,2.19,1.09,1.09,0,370.48,0,10.93,7.65,159.56,0,0,0,2.19,2.19,0,0,25.14,0,2.19,0,4.37
108-118,1.53,0,22.21,0.77,0.77,51.32,6.13,12.26,9.19,0,0,0.77,1.53,1.53,0,0,0,314.04,0.77,11.49,4.6,176.94,0,1.53,0.77,0.77,4.6,0,0,16.85,0,0.77,0,4.6
120,0,0,48.99,0,0,27.44,9.8,1.96,13.72,0,0,3.92,0,0,0,0,0,233.21,0,15.68,3.92,170.5,0,1.96,0,1.96,0,0,0,19.6,1.96,0,0,1.96
