stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,28.92,5.26,0,13.14,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,15.73,9.44,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,3,15,2,0,0,0,0,10,0,0,1,0,2,10,4,0,0,1,4,8,0,0,0
 24-34,0,0,0,0,4.1,2.46,0.82,0,0.82,0,32.83,0,0,9.85,0,0.82,42.68,0.82,1.64,0,0,1.64,9.03,0,1.64,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,24.17,0,0,8.86,0,0,21.75,0,0,0,0,0,7.25,0,0,0
 48-58,0,0,0,0,0.57,3.44,0,1.15,1.15,0,30.99,0,0.57,2.3,1.15,0.57,14.35,0,0.57,0,0,0,4.59,0,0,0
 60-70,0,0,0,0.98,0.98,7.85,0,0,0,0,34.35,0,0,1.96,0,0,19.63,0,0,0,0,0,2.94,0,2.94,0
 72-82,0,0,0,0.98,0,4.91,0,0,0.98,0,73.62,0,0,6.87,0,3.93,11.78,0,0,0,0,0,0.98,0.98,7.85,0
 84-94,0,0,0,3.19,1.06,3.19,0,0,1.06,1.06,97.71,0,0,4.25,0,1.06,11.68,1.06,0,0,0,0,1.06,0,6.37,0
 96-106,0,0,0,3.28,5.46,4.37,1.09,0,1.09,0,114.75,1.09,0,2.19,0,5.46,7.65,0,2.19,0,0,0,0,0,2.19,1.09
108-118,0,0,0,0,3.83,3.06,0.77,0,0.77,0.77,96.51,0,0,2.3,0,10.72,6.89,0,0,0,0,0,0,0,3.83,0
120,0,0,0,1.96,11.76,5.88,0,0,0,0,115.63,1.96,0,3.92,0,5.88,9.8,0,0,0,0,0,0,0,7.84,0
