stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,1,2,0,0,0
 24-34,0,0,0.82,0.82,4.1,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0.82,24.63,0,0.82,0,0,4.1,1.64,2.46,0,0,0
 36-46,0,0,0.81,0,4.83,0.81,0,0,1.61,0,0,0,1.61,0,0,0.81,0.81,0,1.61,24.98,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,1.15,0,1.72,0,0,0,1.72,0.57,0,0,1.72,0,0,2.87,0,0,0.57,9.18,0,0,0,0,1.15,0,1.72,0,0.57,0
 60-70,0,0,0,0,2.94,0,0.98,0,1.96,0.98,0,0,0,0,0,6.87,0,0,0,9.82,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,1.96,0,0.98,0,0,0,3.93,0.98,0,0,1.96,0,0,4.91,0,0,0,1.96,0,0,0,0,2.94,0,0,0,1.96,0
 84-94,0,0,2.12,0,4.25,0,1.06,0,1.06,1.06,0,0,1.06,0,0,5.31,0,1.06,2.12,5.31,0,0,0,0,9.56,0,0,0,2.12,0
 96-106,0,0,4.37,0,1.09,1.09,2.19,0,4.37,1.09,0,0,2.19,1.09,0,7.65,0,4.37,1.09,1.09,0,0,0,0,7.65,0,0,0,0,1.09
108-118,0,0,9.19,0,3.06,0,2.3,0.77,6.13,0.77,0,0,1.53,0,0.77,6.89,0,0,0.77,2.3,0.77,0,0,0,3.83,0,0,0.77,1.53,0
120,0,0,5.88,0,1.96,0,5.88,0,9.8,1.96,0,3.92,3.92,1.96,0,11.76,0,0,0,3.92,0,0,0,1.96,3.92,0,0,0,0,0
