stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,8,1,2,0,0,0,1,0,0,0,0,0,1,0,3,0,1,14,1,0,1,0,0,2,0,1,6,0,0,0,0,0
 24-34,0,0,2.46,0,2.46,0,0,0.82,0,0,0.82,0,0,0,0,0,2.46,0,0.82,18.06,0,0,0.82,0,0,0.82,0,0,4.1,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,1.61,0,0,6.45,0.81,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0.57,0,4.02,0,0,0,1.15,0,0,0,0,0,0,0,5.74,0,1.72,4.59,0.57,0.57,0.57,0,0,0.57,0,0,4.02,0,0,0,0,0
 60-70,0,0,0.98,0,6.87,0,0,0,3.93,0,0,0,0,0.98,0,0,12.76,1.96,0.98,7.85,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,0,5.89,0,0.98,0,11.78,0,0.98,0.98,0,0,0,0.98,13.74,0,0,11.78,0,0,1.96,0,0,0,0,0,0.98,0,0,0.98,0.98,0
 84-94,0,0,1.06,0,7.43,0,1.06,1.06,4.25,1.06,0,2.12,0,1.06,1.06,1.06,19.12,0,2.12,14.87,2.12,0,2.12,0,0,2.12,0,0,3.19,0,1.06,3.19,0,1.06
 96-106,0,0,1.09,0,5.46,0,0,2.19,4.37,0,0,1.09,0,0,0,1.09,15.3,0,1.09,15.3,0,0,1.09,0,1.09,2.19,0,0,1.09,0,0,1.09,2.19,0
108-118,0,0,1.53,0,7.66,0.77,0,0,9.19,1.53,0,0,2.3,0,0.77,0.77,17.62,0,2.3,19.15,2.3,0,0.77,0,0,0.77,0,0,1.53,0.77,0,0.77,0,0
120,0,0,3.92,0,11.76,0,0,0,9.8,0,0,0,0,0,0,0,7.84,0,3.92,11.76,3.92,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0
