stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,18.88,0,15.73,3.15,0,0,0,0,0,0,0,0
 14-21,0,9,1,2,2,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,13,3,0,0,1,0,14,0,0,0,16,0,0,0,0,0
 24-34,0,3.28,0,0,0.82,0,0.82,0,0,0,0,3.28,0,2.46,0,0,0,0,0,0,0,86.19,0.82,1.64,0.82,0,0,3.28,0,0,0.82,34.48,0,0,0.82,0,0
 36-46,0,0.81,0,0.81,0,0,3.22,0,0,5.64,0,0.81,0,0,0,0,0,0,0.81,0,0.81,346.44,0,2.42,0,0,0,0.81,0,0,0,67.68,0,0,3.22,0,0
 48-58,0,0.57,0,1.15,0,0,32.71,0,0.57,8.03,0,0.57,0,0,0,0.57,0,1.15,4.59,0.57,0.57,445.85,0.57,1.72,0.57,0,0,0.57,0,0,0,75.74,0,0,1.15,0,1.15
 60-70,0,0,0,0,0,0,80.48,0.98,0,16.69,0.98,0.98,0,0,0,0,0,0,4.91,0,0,697.86,0,0,0.98,0,0,4.91,0,0,0,105.02,0.98,0,0.98,0,0
 72-82,0,1.96,0,2.94,3.93,0,87.37,1.96,0,22.58,2.94,0,0.98,0,0,0,0,0,22.58,0.98,3.93,592.92,0,0,1.96,0,0,1.96,0,0,0,56.94,0,0.98,4.91,0,0
 84-94,0,3.19,0,4.25,0,0,70.09,4.25,0,18.05,2.12,0,0,0,1.06,0,0,0,10.62,0,0,246.39,0,2.12,0,0,1.06,2.12,0,1.06,0,32.92,1.06,0,2.12,0,0
 96-106,0,1.09,0,2.19,1.09,0,59.01,1.09,0,15.3,1.09,1.09,0,0,0,0,3.28,0,26.23,0,1.09,209.83,0,0,2.19,0,1.09,3.28,0,0,0,12.02,1.09,1.09,4.37,1.09,0
108-118,0,0,0,3.83,0.77,1.53,43.66,2.3,0,19.15,3.06,1.53,2.3,0,0,0,1.53,0,9.19,0,0.77,283.41,0.77,0.77,0.77,0,0,1.53,0,0.77,0,6.13,1.53,0,3.06,0,0
120,0,0,0,1.96,0,0,62.71,0,0,29.4,0,3.92,0,0,0,0,0,0,17.64,1.96,1.96,264.57,0,0,0,0,0,1.96,0,0,0,11.76,0,0,5.88,0,0
