stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,2,2,0,0,0,0,1,1,3,0,0,1,0,0,5,1,0,0,2,7,0
 24-34,0,2.46,0,2.46,0,0,0,10.67,0,0,0,0,0,0,8.21,0,0,0,0,5.75,4.1
 36-46,0,0,0,0,0,0,0,5.64,0.81,0,0.81,0,0,0,4.03,0,0,0,0,0,4.83
 48-58,0.57,0,0,1.15,0,0,0,8.03,0,0,1.15,0,0,0,4.02,0,0,0,0,0.57,1.72
 60-70,0,0,0,0.98,0,0,0,12.76,0.98,0,1.96,0,0.98,0,0.98,0,0.98,0,0,0.98,2.94
 72-82,0,0.98,0,0,0,0,0,13.74,0,0,0.98,0,0,0.98,4.91,0,0,0,0,0,4.91
 84-94,0,1.06,0,1.06,0,0,0,37.17,0,0,0,0,0,0,2.12,0,0,0,0,0,6.37
 96-106,0,0,0,2.19,0,0,0,45.9,4.37,0,2.19,0,0,0,1.09,0,0,1.09,0,0,9.84
108-118,1.53,0.77,0.77,0,0,1.53,0,38.3,0.77,0,0,0,0,0,0.77,0,0.77,0.77,0,0,3.06
120,1.96,1.96,0,1.96,1.96,0,0,48.99,5.88,1.96,0,0,0,0,0,0,0,0,0,0,3.92
