stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0
  7-9,10.51,7.89,13.14,0,0,0,0,0,0,5.26,0,0,0,0,0,134.06,2.63,0,0,65.72,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,50.35,0,0,0,18.88,6.29,0,0,0,3.15,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,1,1,0,2
 24-34,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0.82,0,0,4.1,0,0,0,0,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57,0.57,0,1.72,0,0,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,1.09,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0
