stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,1.64,0,0,12.31,0,0,0,0,4.93,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0,12.89,0,0,0,0,5.64,0,4.03,0,0,0,0
 48-58,0,0,0,0,0,8.61,0,0,0,0.57,0,0,0,0,0,2.3,1.15,0,0,30.41,0,0,0,0,2.87,0,8.03,0,0,0,0.57
 60-70,0,0,0,0,0,25.52,0,0,0,1.96,0.98,0,0,0,0,0,1.96,0,0,65.76,0,0,0,0,5.89,0,5.89,0,0,0,0
 72-82,0,0,0,1.96,0,86.39,0,0,0,3.93,0,0.98,0,0,0,0,5.89,0.98,0.98,99.15,0,0,0,0,3.93,0,3.93,0,0.98,0,0.98
 84-94,0,0,0,2.12,0,49.92,0,0,0,4.25,0,0,0,1.06,0,0,4.25,0,0,52.04,0,0,0,0,7.43,0,2.12,0,1.06,1.06,0
 96-106,0,0,0,2.19,0,66.66,1.09,0,0,4.37,0,0,1.09,0,0,0,7.65,0,0,51.36,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09
108-118,0,0,0,0.77,0,66.64,0,0,0.77,1.53,0,0,0.77,0,0.77,1.53,2.3,0,0.77,42.13,0,0.77,0,0,2.3,0,0,0.77,0,0,0
120,0,0,0,0,0,62.71,0,3.92,0,5.88,0,0,0,1.96,0,0,5.88,0,0,31.36,0,0,0,0,0,0,0,0,0,0,0
