stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,42,0,0,0,0
 24-34,1.64,2.46,0.82,0,4.1,0,0,0.82,0,0,0,0,0.82,0.82,0,0,0,0.82,229.02,0,4.1,0,0,0.82,0.82,95.22,0,0,0,0
 36-46,0,0,0,0,9.67,0,0,4.03,0,0,0.81,0,0,0,0,0,0,1.61,375.44,0,8.06,0,0,0,0,133.74,0,0,0,0
 48-58,0,2.3,0,0,51.64,0,0,6.89,0.57,0.57,0,0,0,0,9.18,0.57,0,0.57,556.59,0,6.89,2.3,0,1.72,0,123.37,0,0,0.57,0
 60-70,0,0.98,0,0,145.27,0.98,0,16.69,0.98,0,0.98,0.98,0,0,14.72,0,0,1.96,865.7,0,4.91,0,0,2.94,0,119.75,0,0,0,1.96
 72-82,0.98,5.89,0.98,0,225.78,0,1.96,17.67,0,0,0.98,1.96,0.98,0,5.89,0,1.96,2.94,933.56,0,7.85,0,0,0.98,0.98,89.33,0,0.98,0.98,0
 84-94,0,6.37,2.12,0,124.26,0,0,18.05,0,2.12,2.12,1.06,0,0,16.99,0,0,2.12,418.44,1.06,3.19,1.06,0,1.06,0,48.85,0,0,0,0
 96-106,1.09,6.56,3.28,1.09,103.82,1.09,1.09,27.32,2.19,2.19,0,2.19,1.09,0,14.21,0,1.09,1.09,383.59,0,1.09,2.19,0,3.28,0,15.3,0,1.09,0,3.28
108-118,0,6.89,0,0.77,81.19,0,0,17.62,0,0.77,0,1.53,0,0,7.66,0,0,0.77,409.79,0,3.06,0.77,0.77,0.77,0,22.21,1.53,0,0.77,0
120,0,1.96,3.92,0,90.15,0,0,27.44,0,5.88,0,0,0,0,3.92,0,0,3.92,607.53,0,5.88,0,0,3.92,0,35.28,0,0,0,1.96
