stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,10,14,1,0,0,1,2,0,1,5,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0,0,0,1.64,1.64,17.24,0.82,7.39,0,0,0.82,0,4.93,0,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,5.64,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0.81,22.56,0,11.28,0,0,0,1.61,6.45,0,9.67,0,0,0,0,0
 48-58,0,0,0,0,0,0,9.18,0.57,0.57,2.87,0,0.57,0,0,0,0,0,0.57,5.16,0.57,29.84,1.15,4.59,0,0,0,0,4.59,0,9.75,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,25.52,0,0,4.91,0,0,0,0,0,0.98,0,0,11.78,0.98,44.17,1.96,5.89,1.96,0,0,0.98,8.83,0,7.85,0.98,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,33.38,0.98,0.98,10.8,0,0,0,0,0,0.98,0.98,0,8.83,0.98,59.88,0,11.78,0,0,0.98,0,3.93,0,4.91,0,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,25.49,0,0,2.12,1.06,0,0,0,0,0,0,1.06,13.81,3.19,21.24,1.06,7.43,5.31,0,0,0,9.56,0,3.19,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,50.27,9.84,0,3.28,0,0,1.09,0,1.09,1.09,1.09,0,12.02,0,17.49,0,5.46,1.09,0,0,0,14.21,0,4.37,0,0,0,0,1.09
108-118,0,0,0,0,0.77,1.53,36.77,24.51,0.77,1.53,0,0,0.77,1.53,0,0,0.77,0,7.66,8.43,34.47,5.36,9.19,5.36,0,0.77,0,16.85,0,2.3,0,0,1.53,0,0.77
120,0,0,1.96,0,1.96,0,64.67,17.64,0,1.96,1.96,0,0,1.96,0,0,0,0,7.84,0,39.2,0,7.84,7.84,0,0,0,9.8,0,7.84,0,0,0,1.96,0
