stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,periderm,spinal_cord,taste,vascular_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0.81,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,5.16,0.57,0,0,0,0,0,0
 60-70,1.96,0,0,0,0.98,0,0,24.54,0.98,0,0,0,0.98,0,0.98
 72-82,0.98,0,0,0.98,0,0.98,0,28.47,2.94,0,0.98,0,0,1.96,0
 84-94,1.06,2.12,0,0,0,1.06,0,24.43,1.06,0,0,0,0,2.12,0
 96-106,1.09,2.19,0,0,1.09,0,1.09,33.88,0,0,0,0,2.19,2.19,0
108-118,3.83,0,0,0,0,0.77,0.77,12.26,2.3,0,0,0.77,0.77,2.3,0
120,5.88,1.96,0,1.96,1.96,0,0,15.68,3.92,0,0,0,0,1.96,0
