stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0
 14-21,1,3,0,2,0,0,0,0,0,0,0,0,12,0,0,0,8,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,1.64,0,18.06,0,0,0,3.28,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,13.7,0,0,0,2.42,0.81
 48-58,0,0,0,8.03,0,0.57,0,0,0,0,0,0.57,4.59,0,0,0,1.72,0
 60-70,0.98,0,0,3.93,0,1.96,0,0,0.98,0,0,0,9.82,0,0,0,1.96,0
 72-82,0,0,0,3.93,1.96,0,0,0,0,0,1.96,0,2.94,0,0,0.98,1.96,0
 84-94,0,0,0,2.12,0,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,1.09,3.28,0,0,0,0,0,0,2.19,0,3.28,0,0,2.19,0,0
108-118,0,0,0,0.77,0,0,2.3,0,0,0,2.3,0,4.6,0,0,1.53,0,0
120,1.96,0,0,3.92,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0
