stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,1,3,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,19.7,0,0.82,0,0,0,2.46,0,1.64,0,0
 36-46,0,1.61,0,4.03,0,0,0,3.22,0,0,0,0,0,0.81,1.61,0,0,42.7,0,0,0,0.81,0,11.28,0,0,0,0
 48-58,0,0,0,6.89,0,0.57,0.57,6.89,0,0,0,0,0,0,3.44,1.15,0,30.99,0,0,0,0.57,0,9.75,0,0.57,0,0
 60-70,0,0.98,0,12.76,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,22.58,0,0,0,0.98,0,0.98,0,1.96,0,0
 72-82,0.98,0,0,16.69,0,0,0,3.93,0,0,0,0,0,0,5.89,0.98,0,21.6,0,0,0.98,0.98,0,2.94,0,1.96,0.98,0
 84-94,0,0,0,5.31,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0,12.74,0,1.06,0,6.37,0,1.06,0,0,0,0
 96-106,0,3.28,0,10.93,0,0,1.09,1.09,0,0,1.09,1.09,0,0,3.28,0,0,9.84,0,2.19,1.09,4.37,0,0,0,0,1.09,0
108-118,0.77,3.06,0.77,3.83,0,0,0,1.53,1.53,1.53,0,0,0.77,0,0.77,0,0,9.19,0,2.3,1.53,1.53,0,0,0,0,0,0.77
120,0,0,0,5.88,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0,1.96,1.96,5.88,0,0,1.96,1.96,0,0
