stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,42.91,416.82,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,107.78,2.63,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,4,146,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,21,0,0,1,0,0,0,4,0,0,2,5,0,0,0
 24-34,0,0,0,2.46,297.15,0,9.03,0,0,0,0,0,0.82,0.82,0.82,0.82,0,0,0.82,0.82,3.28,0,0,2.46,34.48,0,0,0.82,0,4.1,0,0.82,0,0,2.46,8.21,1.64,0,0.82
 36-46,0,0,0,0.81,131.32,0,4.03,0,0,0,1.61,0,0,0,0,0,0,0,0,0,7.25,0,0,3.22,23.36,0,0,0,0,1.61,0,0,0.81,0,0,4.03,0,0,0
 48-58,0,0,0,0.57,84.92,0,4.02,0,0,0,0.57,0.57,0,0.57,0.57,0,0,0,0,0,4.02,0.57,0.57,1.72,28.12,0,0,0,0,1.15,0,0,0,0,0,4.59,0.57,0,1.15
 60-70,0,0,0,0.98,14.72,0,12.76,0,0,0,3.93,0.98,0,0,0,0,0,0,0.98,0,1.96,0,0,0.98,22.58,0,0,0,0,1.96,0,0,0,0.98,0,4.91,0,0,2.94
 72-82,0,0,0,0.98,30.43,0,9.82,0.98,0,0,2.94,0.98,0,0,3.93,0,0,0.98,0.98,0,10.8,0,0,0,20.61,0,0,0,0,3.93,0,0,0,0.98,0,5.89,0,0.98,0
 84-94,0,0,0,0,30.8,0,9.56,0,0,0,0,2.12,0,0,0,0,2.12,0,0,0,5.31,1.06,0,3.19,12.74,0,1.06,0,0,5.31,0,0,1.06,0,0,1.06,2.12,0,0
 96-106,0,0,0,1.09,31.69,0,8.74,0,1.09,1.09,0,0,0,0,2.19,0,0,0,0,0,8.74,0,1.09,1.09,12.02,0,1.09,2.19,0,12.02,0,0,0,1.09,0,1.09,0,2.19,1.09
108-118,0,0,0,1.53,42.89,1.53,11.49,0,0,0.77,5.36,2.3,0,0,1.53,0,0.77,0,1.53,0.77,9.96,0,0,5.36,15.32,0.77,0,0,0,6.89,0,0,0,1.53,0,0.77,0.77,0,0
120,0,0,0,9.8,39.2,0,7.84,1.96,3.92,0,3.92,1.96,0,0,3.92,0,0,0,0,0,13.72,1.96,0,1.96,27.44,0,0,1.96,0,23.52,0,0,0,0,0,0,0,0,0
