stage,blastomeres,endocrine.pancreas,eye,gut,immune,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0
 24-34,0,0,0.82,0,0,0,0,4.1,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,2.42,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,3.93,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,1.53,0,2.3,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0
