stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,17.24,0,1.64,0.82,0,0,0,0.82,0.82,0.82,0,0,1.64,0.82,97.68,0.82,0,0,11.49,0,0.82,0,0,0,0
 36-46,0,0,2.42,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0,116.02,0,0,0,8.06,0,2.42,0,0,0,0
 48-58,0,0,12.62,0,0,2.3,0,0,0,0,0.57,0,0,0.57,0.57,0,60.82,0,0,0,8.03,0.57,1.15,0,0,0,0
 60-70,0,0,4.91,0,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0,30.43,0,0,0,5.89,0,0,0.98,0.98,0,0.98
 72-82,0,0,7.85,0,1.96,0.98,0,0,0,0,0,0,0.98,1.96,0,0.98,46.14,0,0.98,0,1.96,0,1.96,11.78,0,0.98,0
 84-94,0,0,10.62,0,1.06,2.12,0,0,0,0,0,2.12,0,0,0,0,49.92,0,0,0,11.68,0,0,41.42,0,0,0
 96-106,0,0,17.49,1.09,1.09,0,1.09,4.37,0,0,1.09,0,1.09,4.37,0,0,30.6,0,0,0,20.76,0,0,83.06,0,0,0
108-118,0,0.77,15.32,0,0,3.06,0,2.3,0.77,0,0.77,0,0,1.53,0,0,23.74,0,0,0,16.85,0,0,103.41,0.77,0,0
120,0,0,11.76,0,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0,0,19.6,0,0,0,11.76,0,0,21.56,0,0,0
