stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0.82,0,0,9.85,0,0.82,0.82,0,0,0.82,4.1,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,2.42,0,0,18.53,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,9.18,0,0,0,0.57,0.57,0,0,0,2.3,0,0.57,5.74,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,55.95,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,109.95,0,0.98,0,0.98,0,0,0,0,5.89,0,0.98,5.89,0,0,0,0,0.98,0,0.98,0.98,0.98,0.98,0
 84-94,0,0,1.06,0,146.56,0,0,0,0,0,0,1.06,0,3.19,1.06,0,4.25,0,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,6.56,2.19,137.7,1.09,0,0,1.09,0,0,1.09,0,7.65,0,1.09,10.93,0,1.09,0,0,1.09,0,1.09,0,0,1.09,0
108-118,0,0,0.77,0,130.98,0,0,0,2.3,0,0.77,1.53,0.77,3.83,0.77,0,8.43,0,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,1.96,0,180.3,0,0,1.96,0,0,0,1.96,0,0,0,1.96,7.84,0,0,0,0,0,1.96,0,0,1.96,0,0
