stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,iridophores,mesenchyme,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3
 24-34,0,0,0,0.82,1.64,0,0,0,0,197.83,0,0,0,0.82,0,47.61
 36-46,0,0,0,0.81,14.5,0,0,0,0.81,192.55,0,0,0,0,0,41.89
 48-58,0,0.57,0,2.87,17.79,0,0,0,4.02,111.89,0,0,0,0,0.57,29.84
 60-70,0,0,0,3.93,20.61,0,0,0,4.91,74.6,0,0,0,0,0,9.82
 72-82,0,0,0.98,9.82,22.58,0,0,0.98,17.67,63.81,0,2.94,0,0,0,0.98
 84-94,0,0,0,5.31,5.31,0,0,0,3.19,24.43,1.06,0,0,0,0,1.06
 96-106,0,1.09,0,6.56,10.93,1.09,0,0,13.11,32.79,0,0,1.09,0,0,3.28
108-118,0,0.77,0,6.13,13.79,0,0,0,4.6,27.57,0,0,0,0,0,0
120,0,1.96,0,5.88,13.72,0,0,0,3.92,19.6,0,0,0,1.96,1.96,0
