stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,1779.02,29966.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909.28,0,0,0,0,0,0
  5-6,2261.84,27258.49,30.65,0,0,0,0,0,0,61.3,0,0,0,0,435.2,79.69,0,190.02,324.87,0,0,0,0,0,0
  7-9,141.95,215.55,352.25,0,2.63,762.33,0,0,0,78.86,0,0,0,0,7347.25,249.73,0,1997.82,10.51,39.43,0,0,0,0,0
 10-12,0,40.91,72.38,0,0,169.94,0,0,0,6.29,0,0,0,0,1148.64,44.06,0,446.87,3.15,18.88,6.29,6.29,0,9.44,0
 14-21,0,0,5,20,6,10,0,3,2,0,0,0,7,6,107,11,2,6,0,4,35,3,17,47,36
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.28,1.64,5.75,1.64,0.82,0,0,0,0,0.82,1.64,0.82,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0.81,0,2.42,0,1.61,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,0.98,0,0.98,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
