stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0.82,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,1.15,0,2.3,0.57,5.16,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,3.93,0,0.98,0,1.96,0,4.91,0,0,0,0.98,2.94,0,0
 72-82,0,0,0,0.98,0,2.94,0,0,0,1.96,0.98,5.89,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,2.12,0,0,0,2.12,0,1.06,0,0,0,0,2.12,0,0
 96-106,0,0,1.09,0,0,1.09,1.09,0,0,0,0,1.09,0,0,1.09,0,0,0,1.09
108-118,0,0,0.77,0,0.77,1.53,0,1.53,0,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,3.92,0,0,0,5.88,0,0,0,0,0,0,0
