stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,13.14,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,15.73,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,37.76,0,0,37.76,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,70,16,0,11,0,1,0,2,4,4,0,0,0,0,0,2,62,0,0,54,108,8,1,2,4,0,3,4,33,4,8,31,35,0,0,6,0,0
 24-34,0,0,0.82,0.82,13.13,0,0,10.67,0,0,0.82,8.21,1.64,4.1,0,0,0,1.64,1.64,4.1,50.07,0,0,25.45,89.47,1.64,4.1,4.93,0,0,7.39,0,0,1.64,0,4.1,32.83,0,0,11.49,0,3.28
 36-46,0,0,0,0,1.61,0,0,15.31,0.81,1.61,1.61,16.11,0.81,4.83,1.61,0,0,1.61,1.61,2.42,96.68,0,3.22,24.17,118.43,3.22,4.83,2.42,0,0,2.42,0,0,2.42,0.81,0,32.23,0,0,17.72,0,2.42
 48-58,0,0,0,0,5.16,0.57,0,24.1,0.57,1.15,2.3,21.23,1.15,4.02,5.16,0,1.15,1.15,0,1.15,95.83,0.57,2.87,13.77,59.68,0.57,3.44,2.3,0,0,0,0,0,0,0.57,0,33.28,0,0.57,6.31,0,2.87
 60-70,0,0,0.98,0,14.72,0.98,0,42.21,0.98,2.94,6.87,46.13,2.94,2.94,6.87,0,0.98,0.98,1.96,2.94,187.47,0.98,4.91,15.7,91.28,0.98,7.85,0.98,0,2.94,0,0,0,0,0.98,0,36.32,0,2.94,2.94,0.98,3.93
 72-82,0,0,1.96,0,6.87,0.98,0,32.39,0.98,0.98,5.89,91.29,10.8,2.94,3.93,2.94,1.96,0.98,0,2.94,300.39,0,10.8,20.61,107.98,0,3.93,4.91,0,2.94,3.93,0,0,0,0,0,18.65,0.98,8.83,15.71,10.8,2.94
 84-94,0,0,4.25,0,26.55,1.06,0,44.61,0,4.25,2.12,52.04,18.05,2.12,10.62,4.25,0,0,1.06,5.31,191.17,0,6.37,15.93,73.28,3.19,1.06,1.06,0,3.19,8.5,0,0,3.19,0,0,12.74,2.12,12.74,16.99,2.12,5.31
 96-106,0,0,2.19,0,26.23,4.37,0,27.32,0,6.56,7.65,78.68,18.58,7.65,19.67,5.46,8.74,1.09,2.19,3.28,208.73,0,9.84,21.86,99.45,4.37,8.74,7.65,0,4.37,26.23,0,0,1.09,0,0,20.76,3.28,5.46,14.21,13.11,6.56
108-118,0,0,0,0,27.57,8.43,0.77,38.3,0.77,6.13,3.06,78.13,25.28,0.77,10.72,7.66,17.62,5.36,0.77,6.89,171.58,0.77,6.13,7.66,102.64,3.06,2.3,4.6,0,0.77,26.81,0,0,3.06,0,0,11.49,1.53,3.06,16.85,4.6,7.66
120,1.96,0,0,0,33.32,17.64,0,35.28,1.96,11.76,5.88,41.16,13.72,7.84,15.68,5.88,11.76,3.92,0,0,105.83,5.88,13.72,11.76,80.35,1.96,0,1.96,0,5.88,66.63,0,0,0,0,0,11.76,5.88,3.92,17.64,5.88,0
