stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,pericytes,periderm,taste,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,0.57,1.15,0,0,0,0.57,0,0
 60-70,0,0,0,0,6.87,0,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0,1.96,134.49,0,0,0,1.96,3.93,0,0,0.98,0,0,0
 84-94,0,0,0,0,69.03,0,0,0,0,2.12,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,63.39,0,1.09,0,1.09,4.37,1.09,0,0,0,0,0
108-118,0,0,0,0,51.32,0,0,0.77,0,0.77,0,0,0,0.77,0,0
120,0,0,0,0,109.75,0,0,0,0,1.96,0,0,0,0,0,0
