stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,28.92,2.63,0,5.26,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,5,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,0.81,0,0,0.81,0.81,4.03,0,1.61,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0,0,0,1.72,0,1.72,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,4.91,0,0,3.93,0,7.85,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,1.96,5.89,0,0,11.78,0,11.78,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,1.06,3.19,0,0,6.37,1.06,2.12,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,1.09,7.65,0,2.19,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,0.77,2.3,0,0,3.06,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,5.88,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,0
