stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0.82,0,2.46,0,0,0.82,0,0,0,0,0,0,6.57,0,0.82,109.99,2.46,0,0,0,0,0,0,29.55,0,0
 36-46,0,0,0.81,0,0.81,0,0,0.81,0,0.81,0,0,0,0,4.03,0,0.81,161.13,0.81,0,0,0,0.81,0,0,36.26,0,0
 48-58,0,0,1.72,0,2.87,0,0,4.02,0,0,0,0,0,0.57,9.18,0,1.15,172.72,0,0,0.57,0,0.57,0,0.57,20.66,0,0
 60-70,0,0,2.94,0,13.74,0,0.98,3.93,0,0,0,0,0,0,8.83,0.98,1.96,225.75,0,0,0.98,0,0,0,0,20.61,0.98,0
 72-82,0,0,1.96,0,60.86,0,0,10.8,0.98,0,0,0,0,0,19.63,0.98,0,385.79,0,0,1.96,0,0,0,0,17.67,0.98,0
 84-94,0,0,4.25,1.06,44.61,0,0,8.5,0,0,0,0,0,0,4.25,0,2.12,248.52,0,0,4.25,0,0,0,0,10.62,1.06,0
 96-106,0,0,3.28,0,52.46,0,0,3.28,1.09,0,0,0,1.09,0,5.46,0,2.19,246.98,0,0,8.74,0,1.09,0,0,4.37,2.19,1.09
108-118,0,0.77,2.3,0,42.13,0,0,5.36,0.77,0,0.77,0.77,1.53,0,12.26,0,0,298.73,2.3,0,12.26,0,0,1.53,0,5.36,0,0
120,0,0,1.96,1.96,37.24,1.96,0,1.96,0,0,0,0,0,0,5.88,0,0,354.72,1.96,3.92,9.8,0,0,0,0,5.88,0,0
