stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,4,4,0,0,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,4.1,0,0,0,0.82,0,1.64,0.82,0,0.82,11.49,0,0,0.82,0,0,2.46,0,0.82,4.1,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,1.61,0,8.06,0,0,0,8.06,0,2.42,0,0,0,11.28,0,0,0,0,0,2.42,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0,0,6.31,0,0,0.57,0,0,18.36,0,0,0,29.26,0,5.74,0,0,0.57,16.07,1.15,0,0,0,0,2.3,0,0,3.44,0,0,0.57,0,0
 60-70,0,0,0,0,0,11.78,0.98,0,0.98,0,0,26.5,0.98,0.98,0.98,59.87,0,5.89,0,0.98,0.98,15.7,0,0.98,0,0,0,1.96,0,0,2.94,0,0,0.98,0,0
 72-82,0,0.98,1.96,0.98,0,21.6,0,0,3.93,2.94,0.98,39.27,0,0.98,0,150.19,0,13.74,0.98,0,0.98,36.32,0,0.98,1.96,0,0,3.93,0,0,2.94,0,0.98,1.96,0.98,1.96
 84-94,0,1.06,3.19,0,0,12.74,0,1.06,1.06,3.19,0,49.92,0,2.12,0,498.1,0,13.81,0,1.06,1.06,41.42,1.06,0,0,0,0,7.43,1.06,0,2.12,0,0,1.06,3.19,0
 96-106,0,2.19,7.65,8.74,2.19,36.06,2.19,1.09,8.74,5.46,0,50.27,3.28,1.09,2.19,763.9,0,24.04,0,2.19,6.56,147.53,0,4.37,2.19,0,1.09,16.39,0,0,0,1.09,3.28,5.46,0,0
108-118,0,0.77,5.36,2.3,0.77,25.28,2.3,0.77,7.66,5.36,0.77,44.43,2.3,0,0.77,1463.76,1.53,19.92,0.77,0.77,3.06,102.64,0.77,0,0.77,0,0,9.19,0.77,0,3.06,0,0,3.06,0,0.77
120,0,0,1.96,1.96,0,5.88,0,0,3.92,11.76,0,41.16,1.96,1.96,0,699.64,0,7.84,0,0,0,56.83,0,0,0,0,0,3.92,0,0,0,0,1.96,5.88,0,0
