stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,28.92,0,113.03,0,2.63,44.69,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,854.33,0,0,0,181.38,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,40.91,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,251.76,22.03,0,0,519.25,0,3.15,31.47,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,1,11,6,8,0,0,1,0,0,2,0,0,0,0,21,11,0,14,105,4,0,1,9,1,237,4,5,93,52,0,0,0,0,0
 24-34,0,0,0,0,3.28,2.46,9.03,0,4.1,0,0.82,0,2.46,0,1.64,0,0,14.78,71.41,0,44.33,137.08,1.64,1.64,3.28,0,0.82,0,9.85,0.82,23.8,34.48,0,0,2.46,0,0
 36-46,0,0,0.81,0,2.42,0,13.7,0.81,8.86,1.61,0,0,3.22,0,0,0.81,0,2.42,213.5,1.61,32.23,56.4,0,0,0.81,0,0,0,3.22,0,0.81,16.11,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,53.36,0,5.74,12.05,0,0,2.3,0,0.57,0,0,2.87,211.73,2.3,26.97,105.58,0,0.57,2.3,0,0,0,1.15,0,0,30.99,0,1.15,3.44,0,0.57
 60-70,0,0,0,0,3.93,0,37.3,0.98,9.82,13.74,0,0,0.98,0.98,0,0,0,1.96,262.07,0.98,21.59,47.11,0,0.98,0.98,0,1.96,0,0.98,0,0,20.61,0,0.98,0,0,0
 72-82,0,0,0,0,1.96,0.98,69.7,1.96,9.82,18.65,0.98,0,0,0,0.98,0,0.98,3.93,339.65,2.94,26.5,61.84,0.98,0,6.87,0,0.98,0,9.82,0.98,0,1.96,0,3.93,2.94,0.98,0
 84-94,0,0,0,0,5.31,2.12,38.23,1.06,7.43,12.74,2.12,0,1.06,0,0,0,1.06,9.56,255.95,3.19,19.12,28.68,0,2.12,3.19,0,1.06,0,10.62,0,0,6.37,1.06,0,4.25,1.06,0
 96-106,0,0,0,0,9.84,2.19,25.14,1.09,7.65,8.74,1.09,0,0,1.09,1.09,0,1.09,10.93,280.86,1.09,9.84,20.76,0,1.09,8.74,1.09,3.28,0,15.3,0,0,0,1.09,1.09,0,1.09,0
108-118,0,0,0,0,8.43,4.6,36,0,4.6,5.36,3.06,0,0,0.77,0.77,0.77,0.77,15.32,265.79,1.53,8.43,55.92,0.77,1.53,2.3,0,0.77,0,13.79,1.53,0,1.53,1.53,0.77,0.77,0.77,0
120,0,0,0,0,1.96,7.84,23.52,0,1.96,5.88,5.88,0,0,1.96,0,1.96,1.96,7.84,215.58,3.92,9.8,43.12,0,0,3.92,0,0,0,13.72,0,0,0,3.92,0,0,0,0
