stage,axial,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19,0,0
 24-34,0,0,5.75,0,0,0,0,0,3.28,0,0.82,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0,72.24,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,4.03,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,82.18,0,0
 48-58,0,0,1.15,2.87,0,0,0,0,12.05,0,0,0,0.57,0,4.59,0,0,0,0,0,0,1.15,0,97.55,0,0
 60-70,0,0,0.98,0.98,0,0,0,0,11.78,0,0.98,0,2.94,1.96,0.98,0,0,0.98,0,0,0,0,0,131.52,0,0
 72-82,0,0,0.98,7.85,0,0,0.98,0,20.61,0,0,0,6.87,0,1.96,0,1.96,0.98,0,0,0,0,0.98,234.62,1.96,0.98
 84-94,0,0,0,3.19,0,0,0,1.06,12.74,0,1.06,1.06,6.37,1.06,3.19,0,0,2.12,0,0,0,0,1.06,234.71,0,0
 96-106,0,1.09,1.09,5.46,0,1.09,1.09,0,26.23,1.09,0,0,9.84,0,8.74,0,0,1.09,0,2.19,0,0,0,290.7,0,0
108-118,0.77,0,0.77,2.3,0,0,2.3,0,13.02,0,0,0,6.13,0,2.3,0,0,1.53,0,0.77,0,0,0,229.79,0,0
120,0,0,0,3.92,1.96,0,0,0,13.72,0,0,1.96,3.92,0,11.76,0,0,0,1.96,0,0,0,0,195.98,0,0
