stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,9.44,3.15,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,3,0
 24-34,0,0,0.82,0.82,0,0,0.82,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0,0.82,13.13,0,0,0,0,2.46,0,0,4.93,0
 36-46,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0,0,20.14,0,0.81,0,0,1.61,0,0,3.22,0
 48-58,0,0,0,0,0,0,5.74,0.57,0,1.72,0,0,0,0,0,0,1.72,0,0,18.94,0,0,0.57,0,0,0,0,4.02,0
 60-70,0,0,0,0.98,0,0,6.87,0,0,4.91,0,0,0,0,0,0,0.98,0,0,9.82,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0,0,1.96,0,14.72,0,0,2.94,0,0,0,0,0.98,0,3.93,0.98,0.98,11.78,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,7.43,0,0,3.19,1.06,0,0,0,0,0,3.19,0,1.06,5.31,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,2.19,0,0,3.28,6.56,0,1.09,0,1.09,0,2.19,0,0,2.19,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0,1.53,6.13,0,0,0,13.02,0,0,0,0,1.53,1.53,0,0,7.66,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,3.92,0,0,0,19.6,0,0,0,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0,1.96
