stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,7,2,9,0,0,0,3,1,0,2,0,0,10,0,6,140,3,0,1,3,3,19,1,10,54,0,0,0
 24-34,0,0.82,0.82,0.82,0.82,5.75,0,0,0,1.64,0,0,0,0.82,0.82,9.03,0,1.64,64.85,0,0.82,0,0,0,0,0,0,16.42,0.82,0,0
 36-46,0,0,0,0,0,11.28,0,0,0,0.81,0,0,0,0,0,8.06,0.81,2.42,52.37,0.81,0.81,0,0,0,0,0,0,17.72,0.81,0,0
 48-58,0,0,0,0,0,18.94,0,0,0,6.89,0,0,0.57,0,0,10.33,0,1.72,26.4,0,0,0,0,0,0,0,0,4.02,0,0,0.57
 60-70,0,0,0,0,0,6.87,0,0,0,1.96,0,0,0,0,0,3.93,0,0,20.61,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,5.89,0,0,0,4.91,0,0,0,0,0,4.91,0,0.98,11.78,0,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,3.19,0,9.56,0,1.06,0,5.31,0,1.06,0,0,0,5.31,0,0,3.19,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,5.46,1.09,0,0,1.09,0,0,0,1.09,0,4.37,0,0,6.56,0,0,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,2.3,0,4.6,0,0,0.77,1.53,0,0,0,0,0,4.6,0,1.53,11.49,0.77,0,0,0,1.53,0,0,0,0.77,1.53,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0,0
