stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,125.88,9.44,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,5,0,0,3,1,0,0,0,0,0,0,0,0,2,0,5,41,1,0,0,0,0,6,5,22,0,0,0,0
 24-34,0,0,0,1.64,0,7.39,0,0,1.64,0,0,0,0,0,0,0.82,0,0,9.03,0,4.93,61.56,0,0.82,0.82,0,2.46,0,0.82,13.13,0,0,0,0.82
 36-46,0,0,0,3.22,0,7.25,0,0,3.22,0,0,0.81,0.81,0,0,0,0,0.81,7.25,0.81,2.42,62.84,0,0,0,0,0,0,0,13.7,0,0,0.81,1.61
 48-58,0,0,0,1.15,0,9.18,0.57,1.72,4.02,0,0,0.57,0,0.57,0.57,0,0,0,10.33,1.72,1.72,53.94,0,0,0,0,0,0,0,10.33,0,0,0,0
 60-70,0,0,0,0.98,0,24.54,0,4.91,9.82,0.98,0,0,0.98,0,0.98,0,0,0,13.74,1.96,0.98,95.21,0,0.98,0,0,0,0,0,8.83,0,0,0.98,0
 72-82,0,0,0,0.98,0,15.71,0,4.91,18.65,0,0,0,0,0,0,0.98,0,0,9.82,2.94,2.94,109.95,0,0.98,0,0,0,0,0,6.87,0,1.96,1.96,0
 84-94,0,0,0,1.06,0,15.93,0,2.12,8.5,2.12,0,0,1.06,0,1.06,0,0,0,9.56,0,3.19,48.85,0,0,0,0,1.06,0,0,6.37,1.06,0,5.31,0
 96-106,0,0,1.09,1.09,0,14.21,0,2.19,3.28,0,0,0,0,1.09,3.28,0,0,0,5.46,1.09,3.28,62.29,0,0,2.19,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,2.3,0,11.49,0,3.06,13.79,0.77,0,0,0.77,0.77,2.3,0.77,0.77,0,9.96,0,1.53,64.34,0,0.77,2.3,0,0,0,0,0.77,0,0.77,2.3,0
120,0,0,0,0,0,11.76,0,0,1.96,0,0,0,0,0,0,0,1.96,0,9.8,0,0,101.91,0,0,0,0,0,0,0,5.88,0,0,1.96,0
