stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,1,2,0,0,4,0,2,0,0
 24-34,0,0,0.82,0.82,0.82,0,4.1,0,0,0,0.82,0,0,0,0,0,3.28,0,0.82,39.4,0,0,4.93,0,0,0.82,0,0,0,0,4.93,0,20.52,0,0
 36-46,0,0,0,0,0,0,5.64,0,0,0,0,0,0.81,0,0,2.42,0,0,0.81,88.62,0,3.22,4.03,0,0,0.81,0,0,0,0,12.89,0,9.67,0,0
 48-58,0,0,0,0,1.15,0,41.31,0,0,1.15,0,0,0,0,0,1.15,1.15,0,0,96.97,0,2.87,5.16,0,0,0,0,0,0,0,10.9,0,4.59,0,0
 60-70,0,0,0,0,3.93,0,207.1,0,0,3.93,0,0,0,0.98,0,1.96,2.94,0,0,156.06,0,3.93,6.87,0,0,0,0,0,0,0,19.63,0.98,3.93,0,0.98
 72-82,0,0,1.96,0,4.91,2.94,444.69,0,1.96,14.72,0.98,0.98,0,0,0,2.94,7.85,0,0.98,226.76,0,7.85,18.65,0,0,2.94,0,0,0,0,6.87,0.98,1.96,0,0.98
 84-94,0,0,0,0,11.68,2.12,246.39,0,0,15.93,0,0,0,0,0,7.43,12.74,1.06,0,121.07,1.06,9.56,33.99,0,0,1.06,0,0,0,0,8.5,1.06,4.25,1.06,0
 96-106,0,0,0,0,8.74,0,248.08,0,1.09,15.3,1.09,0,0,0,0,10.93,4.37,1.09,0,125.68,0,8.74,38.25,0,0,3.28,0,0,0,1.09,1.09,0,2.19,0,1.09
108-118,0,0,0,0.77,4.6,0.77,219.07,0.77,2.3,14.55,0,0,0,0.77,0.77,9.96,3.83,0,0,140.94,0,3.83,29.87,0,0.77,2.3,0,0,0,0,2.3,0,2.3,0.77,0.77
120,0,0,0,0,5.88,0,180.3,1.96,0,27.44,1.96,0,0,0,0,5.88,5.88,0,1.96,188.14,0,13.72,43.12,0,0,1.96,0,0,1.96,0,0,0,0,0,0
