stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,2.46,0.82,0,0,0,0.82,0,0,0.82,0,0,0,15.6,0.82,0.82,0,0.82,0,9.85,0,0.82,0
 36-46,0,0,0.81,0,1.61,0,0,2.42,0,0,0,0,0,0,0,2.42,0,0,0,29.81,0.81,0.81,0,0,0.81,7.25,0,0,0
 48-58,0,0,0,0,2.87,0,0.57,2.3,0,0,0.57,0,0,0,0,1.72,0.57,0,0.57,42.46,0,0,0,0.57,0,8.03,0,0.57,0
 60-70,0,0,0.98,0,19.63,0,0,1.96,0,0.98,0,0,0,0,0,8.83,0,0.98,0,85.39,0.98,0,0,1.96,0,9.82,0.98,0.98,0
 72-82,0,0,0,0,26.5,0,0.98,3.93,0,0,0,0,0,0,0,3.93,0,0,0.98,54.97,0,0.98,0,0,0,3.93,0,0,0
 84-94,0,1.06,0,1.06,22.3,0,0,4.25,0,0,0,0,0,0,0,8.5,0,0,1.06,36.11,0,1.06,0,2.12,0,5.31,0,0,0
 96-106,0,0,3.28,0,16.39,0,0,5.46,0,0,0,0,0,0,1.09,6.56,0,0,0,32.79,0,1.09,0,3.28,0,1.09,0,0,1.09
108-118,0,0,0.77,0,10.72,0.77,0,3.06,0,0,0,0.77,0,0.77,0,3.83,0,0,0,45.19,0,0.77,0,1.53,0,0,0,0,0
120,0,0,1.96,0,7.84,0,1.96,3.92,1.96,0,0,0,0,0,0,7.84,0,0,1.96,43.12,0,0,0,3.92,0,3.92,0,0,0
