stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,13,1,2,0,0,0,13,0,0,0,0,0,0,3,0,0,0,15,0,2,2,1,1,23,55,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,21.34,0,0,0,0,0.82,0,1.64,0,0,0.82,27.91,0.82,8.21,6.57,0,0.82,12.31,48.43,0,0,0,0
 36-46,0,0,0,3.22,0,1.61,0,0.81,0,25.78,0,0,0,0,0.81,0,3.22,0.81,0,0,29.81,0,12.09,4.03,0,0,7.25,56.4,0,0,0,0
 48-58,0,0,0,0.57,0,7.46,0,0,1.72,41.31,0,0,0,0,2.3,0,4.59,0,0,0.57,25.82,0,9.75,2.87,0,1.15,1.15,50.49,0,0,0,0
 60-70,0,0,0,1.96,0,4.91,0,0,0.98,53,0,0,0,0.98,2.94,0,4.91,0,0,0,20.61,0,8.83,6.87,0,0.98,1.96,26.5,0,0,0,0
 72-82,0,2.94,0,0.98,0,4.91,0,0,0,50.06,0,0.98,0.98,0,3.93,0,7.85,0,1.96,1.96,19.63,0,5.89,8.83,0,0.98,1.96,19.63,0.98,1.96,0,1.96
 84-94,0,2.12,0,1.06,0,8.5,1.06,0,0,27.61,2.12,0,0,0,3.19,0,7.43,0,1.06,0,5.31,0,8.5,13.81,0,1.06,6.37,13.81,0,0,1.06,0
 96-106,0,1.09,0,3.28,0,3.28,0,1.09,0,25.14,0,0,0,2.19,6.56,1.09,3.28,0,1.09,0,6.56,0,13.11,16.39,0,1.09,1.09,13.11,0,1.09,1.09,0
108-118,0,0,0,0.77,0,2.3,0,2.3,0,22.21,0.77,0,0.77,1.53,4.6,0,1.53,0,0,0,6.89,0,8.43,11.49,0,1.53,3.83,6.13,0,0,0,0
120,0,0,0,5.88,0,0,0,1.96,0,7.84,3.92,0,0,1.96,0,0,0,0,0,0,11.76,0,5.88,11.76,0,0,0,5.88,0,0,0,0
